review,translate,sentimen
"Barang sudah sampai, produk bagus terima kasih yaa suka banget. Mantapp jiwa","the goods have arrived, the product is good, thank you, I like it very much. steady soul",1
"pesanan datengnya super cepat....
beli 2 pcs malah....
setelah unboxing
dlmnya elegan,bagus dan sesuai gambar
sayang ......
packingnya gak memadai
cuma dibiarin terbuka
dan gk dibungkus plastik buble wrap
tolong lbh diperhatikan utk packingannya....
🙏🙏🙏","the order came super fast. buy pcs instead. after unboxing it's elegant, nice and according to the picture dear . the packaging is inadequate, just left open and not wrapped in bubble wrap, please pay more attention to the packaging.",0
respon seller cepet bgt...barang nya oke sesuai deskripsi..thx u,the seller's response was very fast. the item was okay according to the description.. thx u,1
"Udh smpai termosnya, naaa ini bru termos bne2 aernya tetep pns didalam","The thermos has arrived, but this is a thermos, but the water is still inside",0
be a smart buyer. ku minta kirim hari itu langsung dikirim. besok nya lsg nyampe. dan sudah cek kualitas dan orisinil nya. 100% bagus dan ori. udah ke2 x beli. mantap pokoknya?,be a smart buyer. I asked for it to be sent the same day it was sent. tomorrow it will arrive. and have checked the quality and original. % good and original. already to x buy. really steady?,1
"Barangnya bagus, puas, yang kurang puas, di proses ordernya, lamaa... Untuk proses kirimnya cepat, barang aman karena dibubble wrap juga.","the goods are good, fasting, those who are not satisfied, the order is processed, it takes a long time. for the fast delivery process, the goods are safe because they are bubble wrapped too.",0
"Proses packing nya agak lama, Alhamdulillah barang nya oke bgt, cm packingnya hanya bubble wrap aja, mgkn biar pihak ekspedisi nya gak banting2","the packing process took a while, thank God the goods were okay, cm packing was just bubble wrap, maybe so the expedition didn't slam",0
"Belum dicoba, nunggu antenanya dateng dulu.. Mudah2an berfungsi dengan baik+awet.. 
Seller juga ramah dan informatif.. Nanyain jenis yg pas utk type tv ku, dibalas dengan baik dan sopan. Makasih","haven't tried it yet, waiting for the antenna to come first...hopefully it works well+durable...the seller is also friendly and informative...asked for the right type for my type of tv,replied nicely and politely. Thanks",1
"Penyok donk😢😢,,, tp kayanya kurirnya yg salah, padahal disitu ada tulisan jgn dibanting.....untung masih  berfungsi dengan baik","it's dented, but it seems like the courier is wrong, even though it says don't slam it there. luckily it's still working fine",0
"Baru pesen kemarin hr ini udah sampe aja, mousepadnya cukup bagus. Ty seller","I just ordered yesterday today, it just arrived, the mousepad is pretty good. ty seller",1
Knpa tekonya tidak bersiul ya,Why doesn't the teapot whistle?,0
saya kecewa banget di toko inih,I am very disappointed in this shop,0
nyaring nya kecil..udh gtu gagang nya panas..bkan merk maspion,the sound is small... so the handle is hot... it's not the Maspion brand,0
"PENGIRIMAN LAMA KALAU BISA GA USAH PAKE SHOPEE EXPRESS, SISANYA AMAN SEMUA MANTAP","Long delivery, if you can, you don't need to use Shopee Express, the rest is safe, everything is great",0
"super fast response order, nggak nyampe 1 jam barang nyampe 👍👍👍","super fast response to orders, didn't arrive at the time the goods arrived",0
Mouse ga connect,mouse doesn't connect,0
"respon penjual ok, barang sesuai pesanan muantap","the seller's response is ok, the goods according to the order are satisfactory",1
Barang sy dr tgl 29des. Smpai hr ini tdk smpai2. Sy bayar ongkir ekspres sampai hri yg sama tp nyatanya 0! Mengecewakan! Ga layak ada di lazada,my item from dec. Until today it didn't arrive. I paid for express shipping to the same day but in fact! disappointing! it's not worth it on lazada,0
bonus nya pul tokonya amanah terima kasih belum di coba terima kasih lazada,"The bonus is that the shop is trustworthy, thank you, I haven't tried it yet, thank you Lazada",1
Barang sampai dengan aman dengan keadaan lengkap dan bagus.,item arrived safely and in good condition.,1
"barangnya bagus, berfungsi, dan mantap..
cuma kecewa sama jasa pengirimannya aja sih..","the item is good, it works, and it's great.. just disappointed with the delivery service anyway..",0
"Ditukar
Pkt sdh sampai to lngsung diambil pelanggan jd tdk ada foto/unboxing  😁😁","The package was exchanged, but it was immediately taken by the customer so there were no photos/unboxing",0
"Bagus,
Hanya saja tidak sesuai iklan,
Yg di tampilkan ada dual layar.","good, it's just that it doesn't match the advertisement, what is displayed is dual screens.",0
"salah warna seharusnya wrna pink datangnya wrna biru 
pengemasan kurang baik, yg punyaku penyok ","the wrong color should be pink, the blue color came, the packaging was not good, mine was dented",0
"maaf baru kasihh ulasan,barang bagus,pakingnya rapih gk smpet foto soal aq nya d bndung","sorry I just gave a review, good stuff, the packing is neat, I can't take a photo of my problem in Bandung",1
"barang sudah diterima dengan baik,tapi pengiriman sedikit lama karena sabtu gak ada pengirman.barang sesuai dengan deskripsi","the goods have been received in good condition, but the delivery took a little long because there was no delivery on Saturday. the goods match the description",0
"barang bagus.. tapi kok pas dipake tabungnya kurang muter.. jd, ujung2nya pake manual deh alias pake tangan ken mangkoknya gak muter","good stuff.. but how come when you use the tube it doesn't rotate... so, at the end you use manual, aka you use your hands, because the bowl doesn't rotate",0
Pengiriman lama karna pake sicepat untungnya sampe tepat waktu,"Delivery took a long time because it was fast, fortunately it arrived on time",0
LUCU BGT SEDUNIAAAAAAA WOIII semoga makin semangat skripsian😫☝🏻🥰💘,"it's so funny in the world, I hope you will be more enthusiastic about your thesis",0
"Barang ada penyok di beberapa bagian, tapi ga begitu parah, gw ga tau ini dari sellernya udh penyok atau pas proses pengirimannya,  keamanan hanya bubble wrap sedikit yang jd kemungkinan penyebab penyok, cat di dalamnya seperti doff bukan mengkilap, gw ga tau yg bagus yang mana pokonya gw review aja, dan seller respon chat cepat👍, 4⭐ cukup lah ya. ","the item has dents in some parts, but it's not that bad, I don't know if this is from the seller it's already dented or during the delivery process, the security is only a little bubble wrap which is a possible cause of the dent, the paint inside is like doff not shiny, I don't know what's good where are the main points, I just reviewed it, and the seller responded to the chat quickly, that's enough.",0
barang masih kurang gir yg kecil,the goods are still lacking small gears,0
"Kurir slah alamat ngirim paketnya bikin orang bingung,gk mau nlfon yg punya paket. Akhirnya barang ditangan juga alhamdulillah setelah keliling tanya barangkali ada paket nyasar... Terimakasih 🙏🙏","the courier sent the package to the wrong address, which confused people, didn't want to call the person who had the package. finally the goods were also in hand, thank God, after going around asking maybe there was a stray package. Thank You",0
kardusnya robek,the cardboard is torn,0
Dichat aja kgk di balas. Padahal lg online. Auto bintang 4 deh,"just chat, no reply. even though I'm online. auto star deh",0
"Berfungsi baik
Cm Agak heran seler di bekasi kok mampir kecakung dl ya.....","it works fine, but I'm a little surprised that the seler in Bekasi, how come I stopped by at Kecakung, huh?",0
"Pengiriman agak lama, karna terkendala ppkm
Pdhl sesama jkt, total 3hari sampai diterima. 
Mungkin kedepannya ditingkatkan lagi untuk proses pengiriman
Untuk barang ok","the delivery took a while, because it was constrained by ppkm at fellow jkt, a total of days until it was received. maybe in the future it will be improved again for the delivery process for goods ok",0
"Mantap, packingan aman banget, gak ada yang lecet dan mouse berfungsi dengan normal 👍","great, the packaging is very safe, nothing is scratched and the mouse functions normally",1
paket udh d terima cuma aga penyok makasih lazada.,"I have received the package, it's just a bit dented, thanks lazada.",0
Kerdusnya penyok. Untung panci & tutup kacanya ga ada yg pecah. ,the cardboard is dented. Luckily the pot and glass lid were not broken.,0
Mantap cepat dan akurat,steady fast and accurate,1
Ada garansi toko Barangnya original 👍 asli karya anak bangsa.,"There is a shop guarantee that the goods are original, original work by the nation's children.",1
"bagus gamepad nyaa , semoga awet","nice gamepad, hope it lasts",1
Setelah barang datang Harga tdk sesuai dengan yg tertulis diaplikasi mengecewakan sekali tdk sportif,"after the goods arrived, the price did not match what was written in the application, it was very disappointing, unsportsmanlike",0
"lucuu tekonyaa,tp bunyinya kecil","cute store, but the sound is small",0
"Harga:standar
Kualitas:good
Pengiriman:cepat

Merk oxon jangan ditanya..pasti bagus dan awet...pengiriman cepat. TKS seller",price: quality standard: good delivery: fast oxon brand don't ask..definitely good and durable.fast delivery. thx seller,1
Alhamdulillah udh smpe.. udh dicoba masak juga bagus mantab.. mksh ya,"alhamdulillah, it's finished... I've tried cooking, it's also good, it's great... thank you",1
"Notbad laaah, cukup buat dirumahan aja..","not bad, just make it at home..",0
mouse ga berfungsi... tp akhirnya Di refund,the mouse doesn't work. but finally got refunded,0
"Fitur Terbaik:bagus
Sepadan dengan Harga:iya kak

Bagus sekali barangnya, kualitas bagus semoga awet barangnya","best features: good worth the price: yes, sis, the item is very good, good quality, hopefully the item will last",1
barang nya pas datang penyok ,the item when it arrived was dented,0
"Fisik barangnya sih bagus, tapi sayang fungsinya kurang bagus. Hand blender ga bisa untuk bahan makanan yg sedikit. Utk MPASI kurang cocok. Mata pisau di hand blendernya jg ga tajam. Beda sama di chopper.","the physical stuff is good, but unfortunately the function is not good. Hand blenders can't work for small amounts of food. for mpasi not suitable. The blades on the hand blender are also not sharp. different from the chopper.",0
"Cepat sampai, packing rapi, toko respon bagus. Tapi hanya sayang, mengikuti petunjuk pemakaian pertama di buku nya, buat masak air, setelah dibuka, dalaman panci berubah warna menjadi hitam (yg semula warna stainless). Jadi takut buat memasak. Apakah ada yg mengalaminya juga?? ","arrived quickly, well packaged, good response from the store. but it's just a shame, following the first usage instructions in the book, to boil water, after opening, the inside of the pot changes color to black (which was originally stainless). so afraid to cook Has anyone experienced this too??",0
"Bintangnya kurang banyak buat nilai toko ini. Fast resp,  membantu, barang sesuai pol","there are not many animals for the value of this character. fast response, helpful, items according to police",0
"saya minta nya blue switch kalo gk salah, tapi yang dateng brown","I asked for a blue switch if I'm not mistaken, but what came was brown",0
bagus sii cuma ada penyok2 nya sedikitt ,"it's good, it's just a little dent",0
"Thx ka barang sudah sampai,pengiriman jg cepat &barang bisa berfungsi dengan baik..🤗😊","thx when the item arrived, the delivery is also fast & the item can function properly..",1
"gambar dan suara jernih, tapi sering ngelag"" muncul tulisan 'Tips program is updating' tombol remote jadi gak berfungsi! ditunggu beberapa jam masih gak berubah😞ada yang tau solusinya?","clear picture and sound, but often lags"" the words 'program tips are updating' appear, the remote button doesn't work! Wait a few hours, it still doesn't change, does anyone know the solution?",0
mantab nyala sip terimakasih sellerMutu terjamin SNI.,"it turns on really good, thank you seller, the quality is guaranteed here.",1
produk bagus cuma sayang kecil tidak sesuai yg ditawarkan,"good product, just a small pity, it doesn't match what is offered",0
"Barang ketika sampai ada beberapa penyok, mungkin karena packagingnya hanya dengan bubble wrap. Sebaiknya dibungkus dengan kardus juga sih supaya lebih aman. Bahkan beli micellar water aja dikasih kardus, bubble wrap, dan airbag + dikasih label fragile, masa beli wajan dikasinya bubble wrap doang. ","when the item arrived there were a few dents, maybe because the packaging was only with bubble wrap. It's better to wrap it in cardboard too to make it safer. Even if you buy micellar water, you'll be given cardboard, bubble wrap, and airbags + given a fragile label, when you buy a frying pan, it's just bubble wrap.",0
"Tebalnya lbh tipis dari T3 ternyata. Jauh lbh empuk T3 padahal produk sama Rexus jg, overall its oke","thickness is thinner than t turns out. much softer t even though the product is the same as Rexus too, overall its okay",0
"Pisaunya bagus sih, packingannya juga ufah pake bubble wrap tapi tetap aja boxnya rusak 😓","the knife is good, the packaging also uses bubble wrap but the box is still damaged",0
"KECEWA!!!....Barang yg kami terima pecah karena packingnya tidak aman, juga tanpa sticker ""Fragile"" dan waktu kami complain ke seller, sellernya bilang itu salah expedisinya..., Loh kan mustinya Seller packingnya yg proper dong, bukan menyalahkan expedisi!!! ","disappointed!. the goods we received were broken because the packaging was not safe, also without ""fragile"" stickers and when we complained to the seller, the seller said it was the wrong expedition.",0
"Pengiriman cepat,paking rapi, tampilan mewah harga terjangkau sangat nyaman sekali di gunakan  mksh kak","fast delivery, neat packing, luxurious look, affordable price, very comfortable to use, thanks sis",1
"barang cepat sampai dan seler fast respon, cuma dongle untuk wireless nya rusak dan harus di return","the goods arrived quickly and the seller was fast in response, only the dongle for the wireless was damaged and had to be returned",0
"Seller nice respon. Barang fast delivery. Packing rapi, box penyok dikit mungkin karena handling pengiriman. Produk sesuai pesanan. Sesuai ekspektasi. Diterima dengan baik dan no defect. Recommended Seller. Terima kasih Seller. Lancar selalu orderannya.","seller nice response. fast delivery goods. neat packing, box dented a bit maybe due to shipping handling. product to order. as expected. well received and no defect. recommended seller. thank you seller. order is always smooth.",1
"sangat kecewa barang tidak sampai di antar ke tujuan tolong complain lagi ke kurir nya
pada saat kirim barang harus di antar sampai tujuan tidak tahu lokasi nya tanya lah jangan sampe kita harus jemput 
itu barang tidak kecil loh
6kg tolong yah kedepannya lebih baik lagi dan jangan lupa di tegur itu kurir nya
terimakasih","I am very disappointed that the goods did not arrive at the destination. Please complain again to the courier. When sending the goods, they must be delivered to the destination. Don't know the location. the courier said thank you",0
Barang sampai dengan selamat egk ada cacat kok belum di coba semoga berfungsi dengan baik,the item arrived safely without any defects how come it hasn't been tried yet hope it works well,1
"kecewa,digambar kan rok; kog datangnya celana komprang? kami mau diganti","disappointed, drawn a skirt; how come the trousers come? we want to change",0
Gk sesuai gmbr ya dapatnya... ? Di gmbr abu² yg datang magenta..,"it doesn't match the picture, you can get it. ? in the picture the gray that comes is magenta..",0
"sesuai deskripsi,batere setelah diCas kedua kali kuatnya tidak main2...  anak main sampai puas 👍👍👍
hanya pas setelah beberapa waktu lcd pecah dan saya hanya tanya tempat servis terdekat sudah tidak respon terus 2 hari kemudian hilang 😂😂😂(type penjual sekali laku raib).
walau bukan tanggung jawabmu masa kasih info aja tidak mau?!","according to the description, the battery after being charged the second time is not strong enough to play. The child played until he was satisfied, just right after some time the LCD broke and I just asked the nearest service place, it didn't respond and then it disappeared (the type of seller once sold disappeared). even though it's not your responsibility, why don't you just give the info?!",0
gemez bgt,very gemez,1
"bubble wrapnya tebel bgt buset,ini mah aman bgt wkwk..pokoknya barangnya diterima dg keadaan gaada yg rusak🤩👍👍","the bubble wrap is really thick, this is really safe, wkwk.. anyway, the item was received in a state where nothing was damaged",0
kurirnya lelet,the courier is slow,0
Setrikanya bagooossss langsung dipake trimakasihhhh,"the iron is good, immediately used, thanks",1
"Sebener e bagus aja, tp ada yang pecah, saya coba chat dr jumat malam ga dibalas sampao senin gimana donggg","actually it's good, but something broke, I tried to chat from Friday night, there was no reply until Monday, what do you do?",0
kemasanya hancur sobek...mana barangnya sudah tergores.klw jual yg benar dong..jgn kasih yang sudah tergores,the packaging is torn apart. where is the item already scratched. if you sell the right one... don't give it to the scratched one,0
"Performa yg menarik adalah slot utk sd card dan sim card, dan bonusnya","the interesting performance is the slot for sd card and sim card, and the bonus",1
"Tampilan:Ergonomis
Performa:praktis
Kualitas:ekonomis

Kekurangan kursi arm rest yg 1d dan pad terbuat dr plastik sehingga kurang nyaman di tangan",Appearance: Ergonomic Performance: Practical Quality: Economical Disadvantages of d and pad armrests are made of plastic so they are not comfortable in the hand,0
"Pengiriman oke 
Barang bagus dan berfungsi 
Warnaya juga oke banget 😍
","good delivery, good item and function, the color is also very good",1
Mantab all item complete,mantab all items complete,1
packing mantapp.,packing steadyp.,1
"Semoga bagus yaa soalnya ga kita unboxing krn utk hadiah teman.
Pengemasan aman bgt, tp pengirimannya lama sekali.
Makasi","I hope it's good, because we're not unboxing it for a friend's gift. Very safe packaging, but the delivery took too long. Thanks",0
Yg satu kgdean yg sau ke kcilan gpp lh biarin ,the one kgdean that I'm too small is okay to let it be,0
"sejauh ini nyaman... responsif, dan ergonomi nya pas banget ditangan... cocok buat desain, game, maupun kantoran...  Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse","so far comfortable. responsive, and the ergonomics fit really well in the hand. suitable for design, games, and office. comfortable and practical, just plug and play, the size of the mouse fits in your hand. best value mouse",1
"NILAI SENDIRI AJA, VIDEO LENGKAP DARI UNBOXIN. GA ADA RESPON SELLER","Just judge for yourself, full video from unboxing. no seller response",0
"Bautnya ada yg kurang, mohon lebih teliti","the bolts are missing, please be more careful",0
"Fitur Terbaik:👍
Sepadan dengan Harga:lumayan

Alhamdulillah paket nya uda sampai makasih ya seller..semoga awet poto sama vidio nya g di buka abis in orderan pelangan😘",the best features: worth the price: pretty good thank God the package has arrived thanks seller..hopefully the photos and videos don't open after customer orders,1
okelah cuma mungkin krn kepala saya kegedean,"okay, maybe because my head is too big",0
Baguss lengkap bonusnya sesuai deskripsi cuma buat hpnya kok tempat buat masukin SIM cardnya ga da,"it's good, the bonuses are complete, according to the description, only for the cell phone, how come there's no place to insert the sim card",0
Jos walau gak di kasih otg,jos even though not given by otg,0
Mantap produknya sesuai deskripsi,solid product according to the description,1
"Tidak bisa memberikan nilai kpd produk, soalnya buat kado, kata temen bagus... semoga awet, secara merk cosmos sudah merupakan merk yg bagus","can't give value to the product, because it's for a gift, said a good friend. I hope it lasts, Cosmos is already a good brand",0
Ceppet di kemas. Licin. Warnanya juga elegan.,quickly packed. slippery. the color is also elegant.,1
"pengiriman sangat cepat, respon penjual baik.. top lah pokoknya","very fast delivery, seller's response is good.. top is the point",1
Top deh barangnya ga kecewa thx y shope😍,"top, the people aren't disappointed, thx y shopee",1
"kemarin pesan hari ini sampe overall bagus cuma pesen biru datang pink tapi gapapa sukaa ❤️❤️
owner nya juga baik fast respon",yesterday ordered today arrived overall good only ordered blue came pink but it's okay like the owner is also good fast response,1
"Bagus, sayang untuk dipakai dilaptop harus pake tambahan konektor dulu","good, it's a shame to use it on a laptop you have to use an additional connector first",0
ada baut hilang 1,there is a missing bolt,0
"Awalnya saya kira udah bagus semua eh pas hari 3 make microphone nya lepas sendiri mana gk bisa dimasukin lagi karena kabelnya ikut keluar terpaksa saya harus perbaiki sendiri, namun tetap saja gk bisa dipasang lagi dan harus dilem, padahal saya memakai dengan wajar saja, kecewa sih","At first I thought everything was fine, the day I put the microphone on, where could it not be put back in because the cable came out, I had to fix it myself, but still it couldn't be plugged in again and had to be glued, even though I used it normally, I was disappointed.",0
"Produk bagus 
Cuma tolong ditambah opsi kurir lain, jnt lambat kalo di daerah Saya
Terima kasih","good product, just please add another courier option, if it's slow in my area, thank you",0
"- Untuk keyboard sendiri, sudah puas.
- Packagingnya lumayan, walaupun gak ada bubblewarp tapi tetep aman karena di dalam kemasan keyboardnya sendiri ada gabusnya buat nahan benturan.

Namun, disini ada kendala dimana waktu mau di unboxing tau-taunya segelnya udah kepotong. Tpi tidak masalah buat saya, selagi keyboardnya normal.","- for the keyboard itself, it's satisfied. - the packaging is ok, even though there is no bubblewarp but it's still safe because in the keyboard packaging itself there is a cork to withstand impacts. However, there is a problem here where when I want to unbox it, the seal is broken. but it doesn't matter to me, as long as the keyboard is normal.",0
Agak kebakar dalem pancinya gitu boleh direfund ga ya,"It's a bit burnt in the pan, can I get a refund or not?",0
dandang panci nya bagus. aman g ada yg penyok. pengirimannya cepat. kurirnya baik bisa jadi langganan masih seller makasih lazada,the pot is good. it's safe there's no dent. the delivery is fast. the courier is good can be a subscriber still seller thanks lazada,1
"sudah smpai, tp sayang ny kekecilan..
tp y g&#39; law lah..
mkasih y Pak..","it's arrived, but it's a shame it's too small.. but what&#; law lah.. thank you sir..",0
"Barang sudah sampai dengan selamat, akan tetapi sensornya sangat sensitif sekali pada saat saya angkat mousenya sedikit pointer masih bisa bergerak","the item arrived safely, but the sensor is very sensitive when I lift the mouse a little the pointer can still move",0
pke estimasi 1 hri tpi dtg 2 hari tidak🤲 prosedur,use estimated days but days without procedures,0
"bertugas menggantikan cooling pad lama yang sudah KO. saat produk baru diterima langsung di test tanpa ada laptop diatasnya, hasilnya 1 kipas kecil bergetar dan bersuara lebih berisik dari kipas yang lain. tapi entah kenapa saat laptop diletakkan di atas cooling pad, suara aneh dari 1 kipas kecil itu berkurang. sudah info ke seller dan disarankan utk retur barang ke blibli. karena perlu waktu lagi untuk prosesnya, saya relakan kondisi tersebut sekalian biar tahu tahan berapa lama kipasnya. apakah produk yang dikirim ke saya itu di test atau tidak sebelum dikirim? karena jelas terdengar suara yang agak kasar dari 1 kipas kecil. bahan tatakan laptopnya seperti dari plastik bukan dari aluminium.","in charge of replacing the old cooling pad that already ko. when a new product is received directly for testing without a laptop on it, the result is a small fan vibrating and making a louder noise than the other fans. but for some reason when the laptop is placed on the cooling pad, the strange sound from the small fan is reduced. already informed the seller and suggested to return the goods to blibli. because it takes more time for the process, I let this condition go and let me know how long the fan lasts. Was the product sent to me tested or not before it was shipped? because it was clear that a rather rough sound came from the small fan. the material for the laptop mat is like plastic, not aluminum.",0
"Pisaunya terlihat kuat dari bahannya. Ukurannya sedikit besar, mungkin supaya bisa memotong makanan yg besar.","the knife looks tough from the material. the size is a little big, maybe so that it can cut large food.",0
"ok buat harganya, tapi kykny kurang tinggi, hanya 21cm dan kurang buat pengguna sensitivity rendah","ok for the price, but I think it's not high enough, only cm and not enough for low sensitivity users",0
"Sebenernya pengirimannya cepet, cuma pengemasannya aja yang lama, mixernya belum dicobain, semoga aja awet 😊 makasih seller","actually the delivery was fast, it's just the packaging that took a long time, the mixer hasn't been tried yet, hopefully it will last, thanks seller",0
Gimna nhi bang kok kibordx ndk xala,"How come bro, how come the keyboard isn't deep?",0
"Kualitas baik packing rapih tapi kayaknya fitur hp nya sudah bayak yang tidak support jadi dihilangkan otg nya wkwk tapi untuk pemakaian semuanya bagus ,ps 3 .,pc getarannya terasa semua.","good quality, neat packing, but it seems like there are a lot of cellphone features that don't support it, so I removed the otg, but for use, everything is good, ps., the PC can feel all the vibrations.",0
Keren bangggeeettt pisau nya. Next mau beli lagi,really cool knife. next time want to buy again,1
motif ny g sesuai gambar. pdhal pesanan tmen. hhhewww,the motive doesn't match the picture. even though tmen's order. hey,0
barang berfungsi tp packing nya kurang safety jadi ada penyok sedikit,the item works but the packaging is not very safe so there is a slight dent,0
Bagus banget bakal langanga ini sis 👍👍👍,it's really good to miss this sis,1
Barang mantap fast respond berfungsi dengan baik cuman sayang kardus nya penyok,"great item, fast response, works well, but it's a shame the box is dented",0
"barang mendarat dengan aman, sesuai request","item landed safely, as requested",1
"Penjual ramah, respon cepet, pengiriman cepet ga ada rusak juga, barang bagus juga. Cuma kemarin ga sesuai warna aja pingin hitam di kirim putih
","friendly seller, fast response, fast delivery, no damage too, good item too. only yesterday it didn't match the color I wanted black to be sent white",0
dah sampe cepet bgt blom dicoba sih...mudah2an bagus thanks seller gilogilo dan Lazada...,"It's arrived fast, haven't tried it yet. I hope it's good, thanks seller Gilogilo and Lazada.",1
"build qualitynya oke bgt, mic bagus, harga terjangkau, qualitas suaranya bagus","the build quality is okay, the mic is good, the price is affordable, the sound quality is good",1
"Sudah beberapa hari pemakaian, berfungsi dengan baik. Dapat case dan screen protector juga.","I've been using it for a few days, it works fine. Got a case and screen protector too.",1
bagus bangettt gambar jernih pelayanan sailer baik banget trimakasih saya puas dengan produknya dan tokonya amanah betull berkah selalu,"very good, clear picture, the service of the sailer is very good, thank you, I am satisfied with the product and the shop is really trustworthy, always a blessing",1
