Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Business_Category,Sentiment_Label,Review_Aspect,Crisis_Flag,Is_Sarcasm
"sy sudh hampir menyerah dengan aplikasi ini, awalnya jam buka tetapi di aplikasi tutup. sy buka kembali.itu berlangsung selama 3buln. akhirnya sy menyerah sudh hampir 7bln. dn unisntal berharap bisa digunakan,ternyata tidak bisa juga. sudh menghub i cs,pusat keluhan,lewat fb, email grab mn sj yg bisa,tetapi tidak ada jawaban yg berguna,pulsa habis bnyak😩. tolong untuk area jatim ny",sy sudh serah aplikasi buka aplikasi tutup sy buka 3buln sy serah sudh 7bln dn unisntal harap tidak sudh menghub cs pusat keluh fb email grab mn sj tidak guna pulsa habis bnyak tolong area jatim ny,2026-01-26 14:53:31,2,F&B,Negative,Lainnya,No,No
"Parah notif lambat driver udah didepan rumah saya , ini aplikasi baru di buka muncul itu bunyi biasane bunyi trus terkadang saya nangganin order di aplikasi lain tau gimana enggak bikin pusing tuh",parah notif lambat driver udah depan rumah aplikasi buka muncul bunyi biasane bunyi trus terkadang nangganin aplikasi tau gimana bikin pusing tuh,2023-07-03 12:06:18,2,F&B,Negative,Lainnya,Yes,No
"""Dapet dengan harga k, blm survei harga offline nya berapa di toko.",dapet harga belum survei harga offline toko,unknown,3,F&B,Netral,Harga,No,No
"DRIVER GOBLOG... NGEDIAMIN 15 MENIT,... RESTO RUGI MAKANAN JADI KEBURU DINGIN....KALAU MAU DI BATALIN JANGAN NUNGGU 15 MENIT TOLOL, BATALIN LANGSUNG BIAR GANTI DRIVER... GOJEK LEMAH...",driver goblog ngediamin resto rugi makan keburu dingin batalin jangan nunggu tolol batalin biar ganti driver gojek lemah,2025-01-06 22:09:23,3,F&B,Netral,Rasa,No,No
"Stik berfungsi normal. Sudah coba connect ke PC windows, maupun macOS (bigsur) semua aman. Plug n play di steam dan apple arcade. Packaging rapih, seller fast response.",stik fungsi normal coba connect pc windows macos bigsur aman plug play steam apple arcade packaging rapih seller fast response,unknown,5,Elektronik,Positive,Bentuk,No,No
can't ever say no to this tempat how much ever crowded it gets or the time one has to menunggu to get a seat here. biryani is simply amazing definitely among the best in hyderabad,can ever say no to this how much ever crowded it gets or the time one has to tunggu to get seat here biryani is simply amazing definitely among the best in hyderabad,3/16/2019 12:05,5,F&B,Positive,Lainnya,No,No
KENAPA SIH PROMO GOFOOD KU CUMA 5. HABIS ITU GAK PERNAH ADA LAGI,promo gofood ku habis tidak,2025-12-01 01:19:09,3,F&B,Netral,Harga,No,No
Sangat kecewa sudah membeli pulsa notifikasi berhasil tapi pulsa tidak masuk sudah komplikasi berkali2 tapi saldo tidak dikembalikan,kecewa beli pulsa notifikasi hasil pulsa tidak komplikasi berkali2 saldo tidak kembali,2024-10-13 00:38:53,1,F&B,Negative,Lainnya,Yes,No
food is not good. we ordered mandi it is worst and mutton is not cooked well. we left the food. and ordered basil chicken it is also cold and not good.. overall a horrible experience going there.,food is not good we ordered mandi it is worst and mutton is not cooked well we left the food and ordered basil chicken it is also cold and not good overall horrible experience going there,2/20/2019 15:11,1,F&B,Negative,Lainnya,No,No
Sampai dengan selamat dan cepat hahaha sering2 diskon yaaa hehehe,selamat cepat hahaha sering2 diskon yaaa hehehe,unknown,5,F&B,Positive,Harga,No,No
"Untuk aplikasi bagus tp metode pembayaran harus ditambah, kalo bisa ditambah dengan pembayaran dikasir jadi untuk pengguna tidak memiliki aplikasi pembayaran jg bisa menerima reward atau promo2 yg ada",aplikasi bagus metode bayar tambah kalo tambah bayar kasir guna tidak milik aplikasi bayar terima reward promo2,2025-02-16 18:59:03,3,F&B,Netral,Harga,No,No
Udah ngikutin promo ini itu tetep susah orderan,udah ngikutin promo tetep susah order,2022-11-10 10:10:32,1,F&B,Negative,Harga,No,No
"saya dari kemarin mengalami dapat pesanan tapi kenapa tidak ada gojeknya, (nama driver tidak ada) dan akhirnya pesanan di batalkan, dan saya yang rugi karena kompensasi di tolak",alami pesan tidak gojek nama driver tidak pesan batal rugi kompensasi tolak,2024-01-02 22:26:08,2,F&B,Negative,Lainnya,No,No
"Lama pelayanan walaupun ramai wajar, tunggu pesanan 1 jam",layan ramai wajar tunggu pesan,2021-05-11T09:47:27.050Z,3,F&B,Netral,Lainnya,No,No
"Makanan dan kopinya enakk, tempatnya estetik, sukaa bangett 🥰🥰🥰",makan kopi enakk tempat estetik sukaa bangett,2026-03-07T13:27:12.414Z,5,F&B,Positive,Rasa,No,No
selalu jadi langganan,langgan,unknown,5,F&B,Positive,Lainnya,No,No
Makasih yaa . Bagus.. terus cepet banget sampeknya,terima kasih yaa bagus cepet banget sampek,unknown,5,Lainnya,Positive,Bentuk,No,No
"Kak, kenapa di apk nya sekarang kalau pesen makanan di fitur grabfood makan sendiri, ongkirnya jadi naik 7000 ya? Mahal bgt, hadeh². Perasaan sebelumnya cuma 2 ribu. Tolong dong, kembaliin ke semula. Jangan ngambil untung dari pembeli napa",kak apk sen makan fitur grabfood makan ongkirnya mahal banget hadeh asa ribu tolong kembaliin jangan ngambil untung beli napa,2026-05-09 06:48:11,3,F&B,Netral,Rasa,No,No
saya kasih bintang 3 .. untuk performa aplikasi bagus.. tpi sayangnya Jika ada pembatalan pesanan padahal pesanan sudah jadi.. di batalkan sepihak oleh pihak pembeli atau driver atau sistem. shope mercant tidak memberikan kompensasi.. kita sebagai penjual gak harus di ganti rugi.. cukup kompensasi saja sudah seneng banget buat kembali modal pokoknya saja.. tapi gak ada tanggung jawab pihak shope untuk mercant yg bekerja sama dengan shope.. pdahal shope menerima keuntungan dari penjualan kita..,kasih bintang performa aplikasi bagus sayang batal pesan pesan batal beli driver sistem shope mercant tidak kompensasi jual tidak ganti rugi kompensasi neng banget modal pokok tidak tanggung shope mercant shope pdahal shope terima untung jual,2026-03-01 20:00:03,3,F&B,Netral,Bentuk,No,No
Gampang dibawa-bawa. Awet buat seharian ??. Proses pesanan cepat.,gampang bawa bawa awet hari proses pesan cepat,unknown,4,Kesehatan & Kecantikan,Positive,Bentuk,No,No
ma'f baru kasih ulasan barangnya bagussss top markotop seauai pesanan banget .. pass banget saya next saya order lagi,ma kasih ulas barang bagussss top markotop seauai pesan banget pass banget next,unknown,5,Lainnya,Positive,Bentuk,No,No
"kurirnya lama kirim barangnya,sampe 5 hari.",kurir barang sampe,unknown,2,Lainnya,Negative,Lainnya,No,No
"Pelayanan sangat2 buruk sekali, sangat tdk menghargai customer jd males belanja lg disini",layan sangat2 buruk tidak harga customer males belanja lg,unknown,1,Kesehatan & Kecantikan,Negative,Harga,Yes,No
worst food ..... i would never order from this again... i ordered lucknowi biryani .... that turned out bullshittt.... it looked like timato chutney rice ....,worst food would never from this again ordered lucknowi biryani that turned out bullshittt it looked like timato chutney rice,4/15/2019 13:53,1,F&B,Negative,Lainnya,No,No
"Masa makanan saya di jalan, ntar keinjek orang dong",makan jalan ntar keinjek,2025-12-20 18:56:45,3,F&B,Netral,Rasa,No,No
Kenapa uang gak masuk ke gopay,uang tidak gopay,2023-06-08 01:23:38,3,F&B,Netral,Lainnya,No,No
the best dah,the best dah,unknown,5,F&B,Positive,Lainnya,No,No
"Setelah d update knp jadi pizza hut indonesia ya bukan PHD? Minta tolomg d bantu min.. Dan ketika saya coba untuk menyelesaikan orderan, tidak bisa.. Tulisannya masalah internal",update knp pizza hut indonesia bukan phd tolomg bantu min coba selesai order tidak tulis internal,2020-07-26 10:51:27,3,F&B,Netral,Lainnya,No,No
food was good but it was all leaking from the plate. and so quantity was very less as compared and i expected rice as well with the thali but it was missing,food was good but it was all leaking from the plate and so quantity was very less as compared and expected rice as well with the thali but it was missing,5/24/2019 20:43,3,F&B,Netral,Lainnya,No,No
"Kenapa aplikasi grab merchant sekarang sering ngelag. Orderan masuk d driver tp d apkikasi merchant gak ada masuk. Dan yg terburuk hari ini, aplikasi bisa d buka tp menu pesanan gak ada. Alhasil bnyak orderan masuk dan driver tiba d resto tanpa hasil. D cansel oleh driver dan performa toko menurun. Tolong grab d tingkatkan layanan nya.",aplikasi grab merchant ngelag order driver apkikasi merchant tidak buruk aplikasi buka menu pesan tidak alhasil bnyak order driver resto hasil cansel driver performa toko turun tolong grab tingkat layan,2023-03-24 09:23:18,2,F&B,Negative,Lainnya,Yes,No
Lumayan buat msk masak,lumayan msk masak,unknown,5,Lainnya,Positive,Lainnya,No,No
"salah satu putarannya kunci los hingga kunci jd tdk terpakai, tp sy males return mungkin sesuai harga x ya. utk respon sich oke...tp tdk ada say sorry dr penjual,,,",salah putar kunci los kunci tidak pakai sy males return sesuai harga respon sich oke tidak say sorry dr jual,unknown,2,Fashion,Negative,Harga,Yes,No
"Seharusnya ikon/tombol pemesanan di GoFood yang sedang berlangsung itu semestinya ya di GoFood bukan di beranda utama, perihal menyulitkan konsumen dalam melakukan pencarian pemesanan dan pada akhirnya terjadi timpang tindih pada pemesanan karena letak lokasi.",ikon tombol mesan gofood mesti gofood bukan beranda utama perihal sulit konsumen cari mesan timpang tindih mesan letak lokasi,2026-02-11 18:31:40,1,F&B,Negative,Lainnya,No,No
"Selalu dinner disini sm keluarga,rasa yg slalu puas,pelayanan pun sangat baik dan ada pelayan disini jg yg slalu ramah ka tiwi,terimakasih 🙏🏻",dinner sm keluarga slalu puas layan layan slalu ramah ka tiwi terimakasih,2026-02-01T13:17:06.695Z,5,F&B,Positive,Rasa,No,No
Tolong diperbaharui terus aplikasinya..biar outlet langsung bisa update menu stok promo dll langsung dari aplikasih shopeefoodnya ya..terima kasih,tolong baharu aplikasi biar outlet update menu stok promo dll aplikasih shopeefoodnya kasih,2021-07-21 23:06:41,3,F&B,Netral,Rasa,No,No
i love your float,love your float,4/15/2023 8:08,4,F&B,Positive,Lainnya,No,No
payahhh.. packing asal cm plastik dustnya manaaa?,payahhh packing cm plastik dustnya manaaa,unknown,1,Lainnya,Negative,Lainnya,No,No
"Sekarang driver banyak yg pilih2 orderan kasihan resto yg ada esnya harusnya manis tapi karena kelamaan diambil jadi hambar, kasihan resto yg menu2 panas harusnya masih panas pas sampe customer udah dingin",driver pilih2 order kasihan resto es manis ambil hambar kasihan resto menu2 panas panas pas sampe customer udah dingin,2024-12-14 18:19:43,3,F&B,Netral,Rasa,No,No
makanan dan kopinya enak mas jordi orangnya ramah,makan kopi mas jordi orang ramah,2026-05-10T15:03:15.874Z,5,F&B,Positive,Rasa,No,No
"Over all good dan nyaman serta banyak pilihan mulai dari outdoor, indoor dan pirvate room nya. Seperti saat ini di ruang lobster yang langsung di layani oleh bu maya. Pelayanan sangat ramah dan responsif",over all good nyaman pilih outdoor indoor pirvate room ruang lobster layan bu maya layan ramah responsif,2026-04-28T13:01:39.320Z,5,F&B,Positive,Bentuk,No,No
Barang sudah diterima tapi belum di coba krn teknisinya blm dtg,terima belum coba teknisi belum dtg,unknown,5,Lainnya,Positive,Lainnya,No,No
"Tolong dikasih TOMBOL/LOCK AUTO. (,Yg bisa cancel cma driver n resto,dg catattn udah ada konfirmasi ke yg terkait,mngkin menu ngk ada/reato tutup) AGAR KAMI PARA GOJEK DRIVER/PARTNER RESTO TIDAK DIRUGIKAN. JANGAN CUMA MENGUNTUNG K AN Customer ya jek....",tolong kasih tombol lock auto cancel cma driver resto catattn udah konfirmasi kait mngkin menu ngk reato tutup gojek driver partner resto tidak rugi jangan untung an customer jek,2019-08-29 11:06:17,3,F&B,Netral,Lainnya,No,No
selalu puas SM resto ini,puas sm resto,Ordered on 15 July 2022,5,F&B,Positive,Lainnya,No,No
"Pembelian kedua tapi baru buka langsung sobek bagian atas, :(",beli buka sobek,unknown,1,Otomotif,Negative,Lainnya,No,No
@argawijaya1194 Owalahh oke oke sorry soalnya aku taunya fore yg dingaliyan,argawijaya1194 owalahh oke oke sorry tau fore dingaliyan,Thu Feb 27 05:42:31 +0000 2025,3,F&B,Netral,Lainnya,No,No
"saya sungguh kecewa dg membeli masker produk ini, krn isinya yh seharusnya 1 dos 20 pieces, ternyata ada 5 pieces masker tdk ada talinya shg tdk bisa digunakan sebagaimana mestinya, mohon perhatiannya, tks",sungguh kecewa beli masker isi yh dos pieces pieces masker tidak tali shg tidak mesti perhati tks,unknown,2,Kesehatan & Kecantikan,Negative,Lainnya,Yes,No
quantity should be more for starter,quantity should be more for starter,7/29/2018 21:55,4,F&B,Positive,Lainnya,No,No
"Ramah pelayanannya,terima kasih Kak Siti",ramah layan kasih kak siti,2025-10-17T10:10:41.669Z,1,F&B,Negative,Lainnya,No,No
"semenjak update jd gajelas , udh diteken siap masih aja dibilang telat siapkan pesanan , jelas2 drivernya yg blm dateng.. makin kesini makin gajelas grab",semenjak update gajelas teken bilang telat siap pesan jelas2 drivernya belum dateng kesini gajelas grab,2025-05-25 23:42:16,1,F&B,Negative,Lainnya,No,No
it is said medium but it looks like small only.,it is said medium but it looks like small only,2/13/2019 19:22,1,F&B,Negative,Lainnya,No,No
"Barang sesuai deskripsi, Respon penjual cepat, Packingan rapi.",sesuai respon jual cepat packingan rapi,unknown,5,Lainnya,Positive,Bentuk,No,No
Tolong dong pihak grab jangan suka menutup otomatis resto merchant Kalau ada orderan cancel padahal driver yg ngencel dengan alasan jauh pengambilan tiba2 restonya di tutup otomatis padahal makanan sudah jadi Kalau di tutup otomatis kan customer gak bisa order ulang juga.,tolong grab jangan suka tutup otomatis resto merchant order cancel driver ngencel alas ambil tiba2 restonya tutup otomatis makan tutup otomatis customer tidak ulang,2025-02-12 13:33:00,1,F&B,Negative,Rasa,Yes,No
