Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Business_Category,Sentiment_Label,Review_Aspect,Crisis_Flag
"pertama, kolom catatan seharusnya masuk ke resto juga, tidak hanya masuk ke driver. karena akan menyebabkan miss komunikasi jika ada pelanggan yg request makanan lewat kolom tersebut. jika masuknya hanya ke driver saja. karena driver sampai resto terkadang makanan sudah langsung jadi. dan tidak semua pelanggan faham. kedua, untuk menghindari kesalahan rating, untuk penilaian rating resto keluar lebih dulu baru rating driver ke dua.",pertama kolom catat masuk resto tidak masuk driver sebab miss komunikasi langgan request makan lewat kolom sebut masuk driver driver resto terkadang makan langsung jadi tidak semua langgan faham dua hindar salah rating nilai rating resto keluar lebih dulu baru rating driver,2025-10-01 19:23:30,3,F&B,Neutral,Rasa,No
hallo! aku sudah open nokos mulai 3k dengan pilihan wa tele gmail gojek grab maxim shopee ovo lazada dana kakaotalk fore coffee google youtube. garansi atau nogar langsung wa di bio. #zonauang,hallo open nokos mulai 3k pilih wa tele gmail gojek grab maxim shopee ovo lazada dana kakaotalk fore coffee google youtube garansi nogar langsung wa bio zonauang,Sun Feb 23 14:09:58 +0000 2025,3,F&B,Neutral,Lainnya,No
@asaoutie gatau plis semoga dirumah gW DOANG soalnya gw mau kabur ke fore,asaoutie gatau plis moga rumah gw doang soal gw mau kabur fore,Mon Feb 24 04:48:12 +0000 2025,3,F&B,Neutral,Lainnya,No
lula bakery coffee ini lokasinya di jl citarum di sebelah glosis dining area di dalam tidak terlalu besar tapi outdoornya cukup spacious dan nyaman datang ke tempat ini untuk breakfast menu breakfastnya cukup banyak yang menarik ada pilihan menu vegan juga saya pesan grilled cheese sandwich dan benedict turkey duh enak2 banget deh ini grilled cheese sandwich brown breadnya enak dan cheesenya melted banget benedict turkey disajikan dengan fresh veggies yang enak toast breadnya enak dan lembut egg benedictnya perfect kematangannya hollandaise saucenya juga enak kedua menu yang saya pesan ini enak dan recommended deh untuk minuman saya pesan nofee latte non coffee latte taro ice dan saffron vanilla nofee minuman ice ini tampil dengan warna yang cantik dan botol yang unik rasanya juga enak cukup milky dan tidak terlalu manis favorit banget dengan saffron vanilla ini beneran pake saffron rempah yang tergolong mahal di dunia dan punya banyak manfaat kesehatan sayang minuman ini belum ada di lula cabang jakarta harus banget cobain deh recommended,lula bakery coffee lokasi jl citarum belah glosis ning area tidak terlalu besar outdoornya cukup spacious nyaman tempat breakfast menu breakfastnya cukup banyak tarik pilih menu vegan grilled cheese sandwich benedict turkey duh enak2 banget grilled cheese sandwich brown breadnya enak cheesenya melted banget benedict turkey saji fresh veggies enak toast breadnya enak lembut egg benedictnya perfect matang hollandaise saucenya enak dua menu enak recommended minum nofee latte non coffee latte taro ice saffron vanilla nofee minum ice tampil warna cantik botol unik rasa enak cukup milky tidak terlalu manis favorit banget saffron vanilla beneran pake saffron rempah golong mahal dunia punya banyak manfaat sehat sayang minum belum lula cabang jakarta banget cobain recommended,unknown,5,F&B,Positive,Rasa,No
rusak 3 pcs gak bisa pakai karena packing asal,rusak pcs tidak pakai packing asal,unknown,1,Perawatan Hewan,Negative,Lainnya,Yes
Yang dibalikpapan gak ada outletnya. Kalau ada Bintang 5,dibalikpapan tidak outletnya kalau bintang,2018-12-05 18:12:52,3,F&B,Neutral,Lainnya,No
pelayanan rere dan maya,layan rere maya,2026-02-09T06:14:11.341Z,5,F&B,Positive,Lainnya,No
"i have been to this for saturday night makan malam. the ambiance and the locality makes it a nyaman sit out with lush greens and golf court all around. the only thing which disappointed me is the pelayanan, which was very very lambat and the response was not up to the mark.",have been to this for saturday night makan malam the ambiance and the locality makes it nyaman sit out with lush greens and golf court all around the only thing which disappointed me is the layan which was very very lambat and the response was not up to the mark,3/24/2019 23:02,3,F&B,Neutral,Bentuk,No
"Awalnya saya memberikan rating bagus karena pada pertama kali diffuser menyala dengan baik. Saya menerima produk tanggal 15 Februari 2022, dan langsung saya coba, hasilnya bagus. Lalu saya ikuti petunjuk mematikan dan pembersihannya. Produk ini saya nyalakan kembali hari ini tanggal 21 Februari 2022 (kedua kali) mist sudah tidak keluar dan tombol on tidak menyala. Saya mengajukan komplain di chat dan balasan dari pihak uchii mengatakan produk yang sudah lebih dari 3 hari tidak dapat dikomplain. Sangat disayangkan karena ini produk elektronik. Jawaban lainnya dari pihak uchii juga sangat tidak proffesional. Apakah karena saya membeli pada saat diskon, lalu dikirimkan produk yang sudah rusak. Harusnya lebih bertanggung jawab. Kalau tidak ada penggantian, minimal perbaikan.",awal beri rating bagus pertama kali diffuser nyala baik terima tanggal februari langsung coba hasil bagus lalu ikut tunjuk mati bersih nyala tanggal februari dua kali mist tidak keluar tombol on tidak nyala aju komplain chat balas pihak uchii kata lebih tidak komplain sangat sayang elektronik jawab lain pihak uchii sangat tidak proffesional beli diskon lalu kirim rusak harus lebih tanggung jawab kalau tidak ganti minimal baik,unknown,1,Perabotan,Negative,Bentuk,Yes
buruk super duper buruk kok bisa rusakk dlm nya ini pasti di banting2 sama JNE heran udah di bilang pake YESS YESS malah REG 15 sedia in yess dong tokopedia heran saya,buruk super duper buruk kok rusakk dlm nya banting2 sama jne heran udah bilang pake yess yess malah reg sedia in yess tokopedia heran,unknown,1,Lainnya,Negative,Bentuk,Yes
"chowmein was mentioned as ur special item, but it was more like plain white noodles mixed with lots of different uncooked vegetables. bhindi masala was more like a thick curry, but could eat it somehow. the only good thing in the entire order was fulkas, because i ordered fulkaas, and i got exactly that.",chowmein was mentioned as ur special but it was more like plain white noodles mixed with lots of different uncooked vegetables bhindi masala was more like thick curry but could eat it somehow the only good thing in the entire was fulkas because ordered fulkaas and got exactly that,7/20/2018 14:14,1,F&B,Negative,Lainnya,No
Abis nganter lunchbox kakak sama titipan snack buat tukeran di kelas. Sekarang lagi nunggu adek pulang sambil ngopi indocafe di warung deket sekolahan tapi bukan fore. Gapapa. Yang penting waras.,abis nganter lunchbox kakak sama titip snack buat tukeran kelas nunggu adek pulang ngopi indocafe warung deket sekolah bukan fore gapapa penting waras,Wed Feb 26 04:24:00 +0000 2025,3,F&B,Neutral,Rasa,No
"sangat bagus dan memuaskan banget, keren banget",sangat bagus muas banget bagus banget,unknown,5,Lainnya,Positive,Bentuk,No
baru pertama kali coba langsung bisa,baru pertama kali coba langsung,2023-03-01 15:51:30,3,F&B,Neutral,Lainnya,No
"pengiriman cepat, update lambat, produk sesuai deskripsi",kirim cepat update lambat sesuai,unknown,2,Lainnya,Negative,Bentuk,No
the rasa of haleem was good but the quantity is not good for the harga compared to others.,the rasa of haleem was good but the quantity is not good for the harga compared to others,6/14/2018 21:36,3,F&B,Neutral,Rasa,No
"sangat tidak direkomendasikan, lelet, makanan kuang enak",sangat tidak rekomendasi lelet makan kuang enak,2022-05-10T07:51:48.422Z,1,F&B,Negative,Rasa,No
"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",jual amanah responsif kabel fungsi baik kirim cepat kasih,unknown,5,Elektronik,Positive,Lainnya,No
Suasana tempat sejuk ada kolam ikan good mas zusup.susanto makanan enak,suasana tempat sejuk kolam ikan good mas zusup susanto makan enak,2026-02-05T05:19:56.501Z,5,F&B,Positive,Rasa,No
Barang nya kw!!! Lengket sangat lemah beda dengan 3M ori,nya kw lengket sangat lemah beda 3m original,unknown,1,Perlengkapan Kantor,Negative,Bentuk,No
the atmosphere of the tempat was nice; if you want to rasa the ice creams; i can say that it is an ordinary ice cream that you can eat anywhere.,the atmosphere of the tempat was nice if you want to rasa the ice creams can say that it is an ordinary ice cream that you can eat anywhere,unknown,3,F&B,Neutral,Rasa,No
"bit pricy as compared to the location. enak authentic north indian food. amritsari kulcha chole wajib dicoba, little spicy but north indian food would go that way. ramah staf, served on table. limited menu items.",bit pricy as compared to the location enak authentic north indian food amritsari kulcha chole wajib coba little spicy but north indian food would go that way ramah staf served on table limited menu items,5/27/2018 13:16,4,F&B,Positive,Rasa,No
Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Respon penjualnya top Baterenya awet,jual ramah banget proses pesan cepat packaging aman respon jual top baterenya awet,unknown,5,Lainnya,Positive,Bentuk,No
"table was not bersih and there were stains on it, obviously not a 5 start standard. food was ok ok not something great with limited variety on menu. pelayanan was below average as they were not cepat i had to menunggu every time to get something served on the plate or need to call them and ask to serve. on a whole the experience was very poor. nothing great when i visited with my wife for makan malam.",table was not bersih and there were stains on it obviously not start standard food was not something great with limited variety on menu layan was below average as they were not cepat had to tunggu every time to get something served on the plate or need to call them and ask to serve on whole the experience was very poor nothing great when visited with my wife for makan malam,6/11/2018 12:56,2,F&B,Negative,Bentuk,No
Untuk jarak delivery bisa dinaikkan dikit 2.6km masa gabisa 🤔,jarak delivery naik dikit 6km masa gabisa,2022-08-17 12:41:17,3,F&B,Neutral,Lainnya,No
"minta size 43 yg dikirim size 44, kebesaran gk bs saya pakai,bagaimna?",minta size size besar tidak bs pakai bagaimna,unknown,3,Fashion,Neutral,Bentuk,No
SANGAT BURUK! PESANAN GOFOOD SUDAH JADI DI RESTO TAPI TIDAK ADA DRIVER YANG AMBIL. TERUS DENGAN SANTAI NYA PIHAK GOJEK CANCEL. APLIKASI BOBROK,sangat buruk pesan gofood jadi resto tidak driver ambil terus santai nya pihak gojek cancel aplikasi bobrok,2026-05-10 12:46:37,1,F&B,Negative,Lainnya,Yes
good pelayanan and all food very good rasa......biryani super looking and my family is very happy thank u so much so come for again paradise gachibowli.,good layan and all food very good rasa biryani super looking and my family is very happy thank so much so come for again paradise gachibowli,5/11/2019 3:18,5,F&B,Positive,Rasa,No
selalu suka bgtt sama bittersweet,selalu suka banget sama bittersweet,unknown,5,F&B,Positive,Lainnya,No
Bagus walaupun layar nya ada lecet trus ga bisa di pencet sama kamera lain nya ga masalah,bagus walaupun layar nya lecet trus tidak pencet sama kamera nya tidak masalah,unknown,2,Lainnya,Negative,Bentuk,No
"Sepadan dengan Harga:ok Fitur Terbaik:ok kurirnya kenapa sih , ga ada ngabarin kalo udh sampai . malah ditaro dipenjagaan depan . untung ga ilang",padan harga fitur baik kurir tidak ngabarin kalo malah ditaro jaga depan untung tidak ilang,unknown,2,Lainnya,Negative,Harga,No
rasanya agak asem mungkin terlalu banyak tomat,rasa asem mungkin terlalu banyak tomat,unknown,2,F&B,Negative,Rasa,No
"this is worst tempat in gachibowli, let me tell you wat happened as soon as we came in bar worker suggested to sit near corner its was kind washroom near. when whole bar was empty on friday night, as i gave full mouth full to bar workers as insulted guests by asking them sit in corner as if we are murah. i gave him wat he deserves. i sincerely suggest ppl not to go.",this is worst tempat in gachibowli let me tell you wat happened as soon as we came in bar worker suggested to sit near corner its was kind washroom near when whole bar was empty on friday night as gave full mouth full to bar workers as insulted guests by asking them sit in corner as if we are murah gave him wat he deserves sincerely suggest ppl not to go,3/23/2019 8:34,1,F&B,Negative,Harga,No
Masa pas di halaman data diri dan alamat nya oas di pencet pilih outket kaga bisa terus ngybisa pencet konfir juga bisa nya cancel sama kembali doang,masa pas halaman data diri alamat nya oas pencet pilih outket kaga terus ngybisa pencet konfir nya cancel sama doang,2024-11-29 17:21:35,3,F&B,Neutral,Bentuk,No
Toko bintang 5 anteraja bintang 1,toko bintang anteraja bintang,unknown,2,Lainnya,Negative,Lainnya,No
"Ternyata tidak semua item bisa masuk ke box, tapi tidak apa, tetap bintang karena pengiriman di hari yang sama",nyata tidak semua masuk box tidak apa tetap bintang kirim sama,unknown,3,F&B,Neutral,Lainnya,No
"Pelayanan dr seller baik, responsif dan pengirimannya cepet untuk produknya sendiri,dari feel enak klik enak bentuknya enak dan lumayan ringan tapi yang bikin kecewa suka ga responsif kalo make mode wireless sayang soalnya mungkin banyak yg beli ini buat dipake wirelessnya apalagi ini kan mouse gaming mungkin kalo beli lebih baik ke versi yang kabel soalnya selain wirelessnya itu mouse ini lumayan",layan dr seller baik responsif kirim cepet produk sendiri feel enak klik enak bentuk enak lumayan ringan bikin kecewa suka tidak responsif kalo make mode wireless sayang soal mungkin banyak buat dipake wirelessnya kan mouse gaming mungkin kalo lebih baik versi kabel soal wirelessnya mouse lumayan,unknown,2,Lainnya,Negative,Bentuk,Yes
Pelayanan dan makan ok. Untuk promo steak sirloin daging berserat dan kurang empuk.. utk promo birthday steak empuk dan enak.,layan makan promo steak sirloin daging serat kurang empuk promo birthday steak empuk enak,2025-05-17T09:09:37.657Z,5,F&B,Positive,Rasa,No
"baguss bangett,, tempatnya baguss, fasilitasnya oke",baguss bangett tempat baguss fasilitas oke,2026-05-11T12:04:44.235Z,5,F&B,Positive,Bentuk,No
Barang ga ada yg bisa di pake.,tidak pake,unknown,1,Hobi & Hiburan,Negative,Lainnya,No
agak lama sekarang klau oder makanan,lama klau oder makan,2026-03-14 11:42:23,3,F&B,Neutral,Rasa,No
"Mantab.. fast response, terima kasih ????",mantab fast response kasih,unknown,5,Kesehatan & Kecantikan,Positive,Lainnya,No
Ringan tapi kokoh. Resolusi gambar tajam 👍. Packaging rapi. Respon penjualnya top.,ringan kokoh resolusi tajam packaging rapi respon jual top,unknown,5,Lainnya,Positive,Bentuk,No
"udh dari tahun 2021 pake grab mau kmna aja simple ongkos bersahabat, delivery makanan gampang cuma aku pasang copot aja soalnya hp nya terlalu banyak apk belajar anakku😭✨❤️",pake grab mau kmna simple ongkos sahabat delivery makan gampang cuma pasang copot soal hp nya terlalu banyak apk ajar anak,2026-04-17 10:12:38,5,F&B,Positive,Rasa,No
"Payah, ga bisa buat pesan. Map loading muter2 dan gagal lock. (sinyal 4G dan full) Jadi ga bisa pesan. Tolong segera diperbaiki, kalo mau laku loh...",payah tidak buat map loading muter2 gagal lock sinyal 4g full jadi tidak segera baik kalo mau laku loh,2020-04-02 18:26:06,3,F&B,Neutral,Lainnya,No
"Tempatnya enak, luas, menunya bervariasi, rasanya lumayan enak, utk harga memang lumayan juga, sesuai lah sama harganya, ada balkon di saung, bisa kasih makan ikan (disediakan makanan ikan free), ada musholla bersih dan nyaman, ada playground anak juga. Pelayanan ramah. Bisa maen perahu juga di kolamnya.",tempat enak luas menu variasi rasa lumayan enak harga memang lumayan sesuai sama harga balkon saung kasih makan ikan sedia makan ikan free musholla bersih nyaman playground anak layan ramah maen perahu kolam,2026-03-25T15:08:17.393Z,5,F&B,Positive,Rasa,No
"Bad experience this time.. ukuran makanan tidak sesuai dengan harga. Petugas/pelayan sudah saya tanya detail ukuran ikan dan harga, ternyata tidak sesuai dengan kata2 mereka. Sangat mengecewakan..",bad experience this time ukur makan tidak sesuai harga tugas layan tanya detail ukur ikan harga nyata tidak sesuai kata2 sangat kecewa,2018-05-10T11:21:06.398Z,1,F&B,Negative,Rasa,Yes
gk ada plat besinya...cm ada label merk bahan,tidak plat besi cm label merk bahan,unknown,2,Fashion,Negative,Bentuk,No
"Service ok, saya minta ganti minuman yang belum selesai dan terlanjur diberesin, dan diganti , karyawan nya ramah dan profesional, mantab training nya",service minta ganti minum belum selesai lanjur resin ganti karyawan nya ramah profesional mantab training nya,4 bulan lalu,5,F&B,Positive,Rasa,No
Kecil-kecil cabe rawit. Saya suka design sekaligus suaranya. Designnya simple tp berkelas. Suaranya juga mantab. Jernih dengan bass yg cukup bertenaga. Ditaruh dimanapun gak malu-maluin. Saya pikir ini speaker terbaik untuk saya di harga segini.,kecil kecil cabe rawit suka design sekaligus suara designnya simple kelas suara mantab jernih bass cukup tenaga taruh mana tidak malu maluin pikir speaker baik harga gin,unknown,5,Lainnya,Positive,Harga,No
beberapa kali pesanan gofood saya ujung2 nya di cancel karena ngk ada driver mana kita harus nunggu sekitar 1 jam baru bisa di cancel.,beberapa kali pesan gofood ujung2 nya cancel ngk driver mana nunggu baru cancel,2026-02-21 17:48:08,3,F&B,Neutral,Lainnya,No
nasinya enak bumbu bbq nya strong sekali,nasi enak bumbu bbq nya strong sekali,unknown,3,F&B,Neutral,Rasa,No
we wanted to try this tempat as it is famous. we paid more than 800 liras for 2 people; 1.5 portions of iskender and a drink.,we wanted to try this tempat as it is famous we paid more than liras for people portions of iskender and drink,unknown,3,F&B,Neutral,Lainnya,No
mantapp brng nya sesuai+ori gambar nya jgn di ragukan lg top markotop,mantapp brng nya sesuai original nya jgn ragu lg top markotop,unknown,5,Lainnya,Positive,Rasa,No
good job,good job,6/8/2018 12:42,5,F&B,Positive,Lainnya,No
Hi Sobat Fore.... Sudah coba aplikasi Fore Coffee? Dapatkan diskon 50% untuk pembelian pertamamu! Download sekarang dan masukkan kode referral 6A04DC saat registrasi. https://t.co/7BcmmM8cW3,hi sobat fore coba aplikasi fore coffee dapat diskon beli pertama download masuk kode referral 6a04dc registrasi,Wed Feb 26 02:41:27 +0000 2025,3,F&B,Neutral,Harga,No
mantaaaaap sesuai dengan �g di gambar nya jujur dan amanah seler nya .ngak nyesel belanja di toko ini .pokok nya mantaaaaap deh,mantaaaaap sesuai nya jujur amanah seler nya ngak nyesel belanja toko pokok nya mantaaaaap,unknown,5,Hobi & Hiburan,Positive,Lainnya,No
Aplikasi ndk jelas ndk bisa membatalkan atau merubah pesanan gofood auto Hapus ganti apk Grab,aplikasi ndk jelas ndk batal rubah pesan gofood auto hapus ganti apk grab,2025-12-09 07:49:42,3,F&B,Neutral,Lainnya,No
Bau nya mengganggu,bau nya ganggu,unknown,3,Kesehatan & Kecantikan,Neutral,Rasa,No
