Review_Text,Review_Date,Rating_Score,Platform_Source,Business_Category,Product_Name,Raw_Category,Item_Id
TV ok. Kualitas ok,02 Jun 2017,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
"Cara mendapatkan garansi. Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",2019-10-02,1,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
Pengiriman super lama.. tapi datang juga sich,22 Jul 2018,3,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
"Sharp HD LED TV 24"" - LC-24LE175I - Hitam. ok barang sampai dengan Baik.. smoga terus di pertahankan...",18 Apr 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
pengiriman nya laaamaaaaa,29 Jul 2018,3,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
barangnya sangat bagus. dan cepat juga. thank you lazada,10 Apr 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
Menanyakn cara ciciln. Kalau mau cicilan gmna cra nya??,2019-10-02,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
Lima Bintang. barang sudah sampai dan bagus thanks lazada,2019-10-02,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
Bagusss. Pengiriman cepat sipplahhh.......,2019-10-02,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",beli-harddisk-eksternal,100004505
Sampe Sekarang masih Ok ne laptop...,02 Jan 2017,5,Lazada,Elektronik,"Lenovo Ideapad 130-15AST LAPTOP MULTIMEDIA I AMD A4-9125 I 8GB DDR4 I 1TB HDD I AMD Radeon R3 I 15,6 HD LED I DVDRW I DOS",beli-harddisk-eksternal,100005037
Good. Pengiriman cepat.. Packaging good.. Barang oke. Thnks seller Thnks Lazada,2019-10-02,5,Lazada,Elektronik,Sandisk Flashdisk Cruzer Glide CZ60 16GB + iRing Mobile Phone.,beli-harddisk-eksternal,100006860
"Good job. Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",11 Nov 2016,5,Lazada,Elektronik,Asus X407UB-BV187T Laptop Multimedia Murah I Core™ i5-8250U I 4GB DDR4 I 1TB HDD + SLOT SSD M2 I NVIDIA GeForce MX110 2GB I WINDOWS 10 I NO DVDRW I 14.0 HD USLIM,beli-harddisk-eksternal,100007498
"TOP. Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",13 Nov 2017,5,Lazada,Elektronik,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",beli-harddisk-eksternal,100010722
belum test barangnya,23 Agu 2018,4,Lazada,Elektronik,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",beli-harddisk-eksternal,100010722
Cape deh!. Sudah cape2 transfer tapi pesanan ditolak,17 Jan 2018,1,Lazada,Elektronik,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",beli-harddisk-eksternal,100010722
"bagus saya suka, no tipu2...terbaik emanggggggg👍",30 Des 2017,5,Lazada,Elektronik,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",beli-harddisk-eksternal,100010722
harga bersahabat...kwalitas ok,06 Jul 2018,5,Lazada,Elektronik,"Philips 32PHA3052S/70 32"" Televisi LED (FREE Bracket LED) - Khusus JABODETABEK",beli-harddisk-eksternal,100010722
"Lima Bintang. Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",25 Nov 2016,5,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
Ke Gresik bisa gak ya..???. Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,2019-10-02,5,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
Cilegon bisa nggak??. Pengn tivinya,2019-10-02,4,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
Lima Bintang,24 Des 2016,5,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
puasss. Mantapppp barang nya,2019-10-02,5,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
puassss. Barang mulusss mantapppppp,2019-10-02,3,Lazada,Elektronik,Philips 39PHA4251S/70 39' Televisi LED (FREE Bracket LED) - Khusus JABODETABEK,beli-harddisk-eksternal,100010745
"Spesifikasi utama terdapat intel core i5. Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",2019-10-02,1,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
"Bagus, diterima dengan aman.. Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",2019-10-02,5,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Bagus. Barang sampai 2 hari dengan selamat dan sesuai deskripsi,2019-10-02,5,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Produk bagus. Harga sangat murah mantep banget,2019-10-02,5,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Entah benar atau enga. Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,2019-10-02,3,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Barang udah sampai. Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,2019-10-02,1,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Yang bener yang mana? I5 apa i7??,2019-10-02,5,Lazada,Elektronik,Acer E5 575G-74E2 - Core i7-6500U - RAM 8GB DDR4 - HDD 1TB - VGA Nvidia 940MX 2GB - Black,beli-harddisk-eksternal,100015720
Cicilan. Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,2019-10-02,4,Lazada,Elektronik,Sharp LED 32 LE 180 - 32 Inc- Hitam KHUSUS JABODETABEK ( untuk keluar kota wajib di packing kayu),beli-harddisk-eksternal,100024235
untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,2019-10-02,1,Lazada,Elektronik,Sharp LED 32 LE 180 - 32 Inc- Hitam KHUSUS JABODETABEK ( untuk keluar kota wajib di packing kayu),beli-harddisk-eksternal,100024235
"Sesuai Dengan yang tertera. Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",02 Mei 2017,5,Lazada,Elektronik,"Maxtor Hardisk Eksternal M3 1TB 2.5"" USB 3.0 HDD EXT Storage",beli-harddisk-eksternal,100027329
mantap. barang sesuai dengan gambar,20 Jun 2017,5,Lazada,Elektronik,"Maxtor Hardisk Eksternal M3 1TB 2.5"" USB 3.0 HDD EXT Storage",beli-harddisk-eksternal,100027329
"Respon penjualan yg baik. HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",2019-10-02,4,Lazada,Elektronik,"Maxtor Hardisk Eksternal M3 1TB 2.5"" USB 3.0 HDD EXT Storage",beli-harddisk-eksternal,100027329
"TOP. Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",24 Okt 2017,5,Lazada,Elektronik,SanDisk Flashdisk Ultra CZ48 100MB/s - 32GB - Merah - USB 3.0,beli-harddisk-eksternal,100027616
Sip. Oke,14 Jun 2017,5,Lazada,Elektronik,SanDisk Flashdisk Ultra CZ48 100MB/s - 32GB - Merah - USB 3.0,beli-harddisk-eksternal,100027616
"Kepuasan & Ketidakpuasan. Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",25 Feb 2017,5,Lazada,Elektronik,Orico PHL-25 2.5 Inch HDD Protection Case Bag - Hitam ,beli-harddisk-eksternal,100028438
Bagus. Barang diterima dengan kondisi yang baik tapi packagingnya kurang,19 Des 2017,4,Lazada,Elektronik,Orico PHL-25 2.5 Inch HDD Protection Case Bag - Hitam ,beli-harddisk-eksternal,100028438
"SESUIA DENGAN FOTO. Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",2019-10-02,5,Lazada,Elektronik,Orico PHL-25 2.5 Inch HDD Protection Case Bag - Hitam ,beli-harddisk-eksternal,100028438
"Flashdisk ori, Packing bagus. Saya suka.Thx",15 Sep 2018,5,Lazada,Elektronik,SanDisk Flashdisk Cruzer Switch CZ52 - Flashdsk 64GB - Hitam Merah - USB 2.0,beli-harddisk-eksternal,100030605
aman cepat pula,05 Sep 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,09 Sep 2019,4,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
kapasitasy kurang bagusss aturany klw kosong g bnyakkk firusss tpi nieh bnyakkk firusss sangat kecewe,28 Apr 2019,1,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"Baguss bangett kurir nya jga ramah, cakep pula wkwk. Ini 64gb tp cmn 58 sekian gb tp gpp lah yah... Pokok nya recomended deh....",04 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
produk dah sampai kemasan rapih pengiriman cepat barang bagus pembayaran cod tidak perlu diragukan lagi 👍👍,13 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
barangnya bagus banget.. sesuai dengan gambar dn deskripsi.. pengiriman cepat.. bagus dn recomended bangt..👍,28 Feb 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"packing tanpa bubble warp. fisik no minus. Cuma 58 GB, bukan 64. ya lumayan",07 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
barang ok .. packing Rapii .. Kurir nya Ramahh .. Puass ..,24 Jun 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
produk original mantap semoga awet,09 Jun 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
baik. sesuai ekspektasi.,04 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
👍👍👍,22 Agu 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
Barang nya oke makasih,13 Agu 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
Tumben ninja cepat pengirimannya,12 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
barang asli dan original terimakasih maju terus toko jet store,12 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"Flashdisk nya bagus, sesuai picture, barang cepat sampai, kurir ramah",12 Mei 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
oke... mudah2an awet dan ga crash belum sempet d coba,09 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
kapasitas cumA 58 gb ajaaaaa.... huft...,04 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
katanya 64 GB nyatanya cuman 58 GB,10 Jun 2019,4,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"thks ya barang sdh sampai,smga cocok",09 Jun 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
siippp...thank lazada,02 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
udah di trima ...barang OK Moga awet...,18 Mei 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
josss tenan,09 Mei 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"Ini ori, bagus tahan lama masih saya pake",29 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
kampret kaga kebaca!!,27 Mar 2019,1,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
GOOD. barang bagus quick respon hari ini pesan besok sudah sampai,03 Jul 2018,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
brang cukup bagus,03 Apr 2017,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
Sip mantap,29 Jul 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
bagus ori!,07 Jun 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
real good,26 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
bagus,11 Apr 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
good,27 Mar 2019,5,Lazada,Elektronik,Sandisk Flashdisk 64 GB Cruzer Blade CZ50 - Hitam,beli-harddisk-eksternal,100034104
"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",19 Jul 2019,2,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"barang pecah dikirim, payah ni seller. barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",27 Mar 2018,1,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"Brng Utuh diterima. Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit. Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",27 Mar 2018,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
sesuai pesanan. masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,15 Jul 2018,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,01 Mar 2018,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
Pengiriman. Pengiriman tidak sesuai tanggal yang tertera,01 Apr 2017,2,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
sesuai... no tipu2,24 Mar 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
barang ok packing rapih,24 Agu 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",30 Agu 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"tv murah. pengiriman cepat packirng rapih harga murah, free ongkir",15 Jul 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
mantapp. mantapp barang nya sesuai pesanan,09 Jul 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
Parah. Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,2019-10-02,1,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"pengiriman lama pisan, katanya dr kurir, pengirimannya ga pake exspres. hati hati ini tv ga bisa pake USB",19 Mar 2018,1,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
puas,19 Nov 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
puas,19 Nov 2018,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
mantap,31 Agu 2018,5,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
mantap,05 Sep 2018,4,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
yuda. Sangat puas dengan produknya. Terimakasih..,2019-10-02,3,Lazada,Elektronik,"Sharp HD LED TV 24"" - LC-24LE170I - Hitam",beli-harddisk-eksternal,100036366
"Pelayanan. Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",20 Des 2016,5,Lazada,Elektronik,"Lenovo Ideapad 110 - 15IBR - Windows 10 - Celeron N3060 - Ram 4GB - 500GB - 15,6"" (Hitam)",beli-harddisk-eksternal,100038665
"Kurang puas..,. Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",22 Nov 2016,3,Lazada,Elektronik,"Lenovo Ideapad 110 - 15IBR - Windows 10 - Celeron N3060 - Ram 4GB - 500GB - 15,6"" (Hitam)",beli-harddisk-eksternal,100038665
Laptop lenovo. Ini spek ram.nya 2GB atau 4GB,2019-10-02,1,Lazada,Elektronik,"Lenovo Ideapad 110 - 15IBR - Windows 10 - Celeron N3060 - Ram 4GB - 500GB - 15,6"" (Hitam)",beli-harddisk-eksternal,100038665
"FLASHDISK BEKAS WKWKWK :D. GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS). JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",04 Jul 2017,1,Lazada,Elektronik,Flashdisk USB Toshiba Hayabusa Flashdrive 32GB - White,beli-harddisk-eksternal,100042741
"Sering corrupt. Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",16 Mei 2017,2,Lazada,Elektronik,Flashdisk USB Toshiba Hayabusa Flashdrive 32GB - White,beli-harddisk-eksternal,100042741
Palsu,16 Jun 2017,1,Lazada,Elektronik,Flashdisk USB Toshiba Hayabusa Flashdrive 32GB - White,beli-harddisk-eksternal,100042741
VERY NICE. VERY GOOD,15 Apr 2017,5,Lazada,Elektronik,Flashdisk USB Toshiba Hayabusa Flashdrive 32GB - White,beli-harddisk-eksternal,100042741
"barang kw. korup terus klo di copy ke fd,mengecewakan",2019-10-02,1,Lazada,Elektronik,Flashdisk USB Toshiba Hayabusa Flashdrive 32GB - White,beli-harddisk-eksternal,100042741
"TOP BGT. hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",30 Okt 2017,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
"Barang sudah mendarat dengan selamat. Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",02 Okt 2017,4,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
"Bagus. Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",09 Mar 2017,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
bagus. sesuai spek yg saya mau.. jd oke lah,12 Des 2017,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
Rekomended. barangnya bagus. rapi tidak mengecewakan. akan tetapi bagus kalau ada Bonus pouch nya. hehhe,23 Mar 2017,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,",11 Jan 2018,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
barang tlah diterima kondisi baik,11 Jan 2018,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
mantap,07 Agu 2018,5,Lazada,Elektronik,Transcend StoreJet 25H3 1TB - HDD / HD / Hardisk External Antishock,beli-harddisk-eksternal,100052565
