Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
lucuu tekonyaa tp bunyinya kecil,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
harga standar kualitas good pengiriman cepat merk oxon jangan ditanya pasti bagus dan awet pengiriman cepat tks seller,unknown,3,Multi-platform,Neutral,Bentuk,No,Fashion,No
alhamdulillah udh smpe udh dicoba masak juga bagus mantab mksh ya,unknown,5,Multi-platform,Positive,Rasa,No,F&B,No
notbad laaah cukup buat dirumahan aja,unknown,3,Multi-platform,Neutral,Lainnya,No,Lainnya,No
mouse ga berfungsi tp akhirnya di refund,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
fitur terbaik bagus sepadan dengan harga iya kak bagus sekali barangnya kualitas bagus semoga awet barangnya,unknown,5,Multi-platform,Positive,Bentuk,No,Fashion,No
barang nya pas datang penyok,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
fisik barangnya sih bagus tapi sayang fungsinya kurang bagus hand blender ga bisa untuk bahan makanan yg sedikit utk mpasi kurang cocok mata pisau di hand blendernya jg ga tajam beda sama di chopper,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
cepat sampai packing rapi toko respon bagus tapi hanya sayang mengikuti petunjuk pemakaian pertama di buku nya buat masak air setelah dibuka dalaman panci berubah warna menjadi hitam yg semula warna stainless jadi takut buat memasak apakah ada yg mengalaminya juga,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
bintangnya kurang banyak buat nilai toko ini fast resp membantu barang sesuai pol,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
saya minta nya blue switch kalo gk salah tapi yang dateng brown,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
bagus sii cuma ada penyok2 nya sedikitt,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
thx ka barang sudah sampai pengiriman jg cepat barang bisa berfungsi dengan baik,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
gambar dan suara jernih tapi sering ngelag muncul tulisan tips program is updating tombol remote jadi gak berfungsi ditunggu beberapa jam masih gak berubah ada yang tau solusinya,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
mantab nyala sip terimakasih sellermutu terjamin sni,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
produk bagus cuma sayang kecil tidak sesuai yg ditawarkan,unknown,3,Multi-platform,Neutral,Bentuk,No,Lainnya,No
barang ketika sampai ada beberapa penyok mungkin karena packagingnya hanya dengan bubble wrap sebaiknya dibungkus dengan kardus juga sih supaya lebih aman bahkan beli micellar water aja dikasih kardus bubble wrap dan airbag dikasih label fragile masa beli wajan dikasinya bubble wrap doang,unknown,3,Multi-platform,Neutral,Rasa,No,Elektronik,No
tebalnya lbh tipis dari t3 ternyata jauh lbh empuk t3 padahal produk sama rexus jg overall its oke,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
pisaunya bagus sih packingannya juga ufah pake bubble wrap tapi tetap aja boxnya rusak,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
kecewa barang yg kami terima pecah karena packingnya tidak aman juga tanpa sticker fragile dan waktu kami complain ke seller sellernya bilang itu salah expedisinya loh kan mustinya seller packingnya yg proper dong bukan menyalahkan expedisi,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
pengiriman cepat paking rapi tampilan mewah harga terjangkau sangat nyaman sekali di gunakan mksh kak,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
barang cepat sampai dan seler fast respon cuma dongle untuk wireless nya rusak dan harus di return,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
seller nice respon barang fast delivery packing rapi box penyok dikit mungkin karena handling pengiriman produk sesuai pesanan sesuai ekspektasi diterima dengan baik dan no defect recommended seller terima kasih seller lancar selalu orderannya,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
sangat kecewa barang tidak sampai di antar ke tujuan tolong complain lagi ke kurir nya pada saat kirim barang harus di antar sampai tujuan tidak tahu lokasi nya tanya lah jangan sampe kita harus jemput itu barang tidak kecil loh 6kg tolong yah kedepannya lebih baik lagi dan jangan lupa di tegur itu kurir nya terimakasih,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
barang sampai dengan selamat egk ada cacat kok belum di coba semoga berfungsi dengan baik,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
kecewa digambar kan rok kog datangnya celana komprang kami mau diganti,unknown,2,Multi-platform,Negative,Lainnya,Yes,Fashion,No
gk sesuai gmbr ya dapatnya di gmbr abu yg datang magenta,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
sesuai deskripsi batere setelah dicas kedua kali kuatnya tidak main2 anak main sampai puas hanya pas setelah beberapa waktu lcd pecah dan saya hanya tanya tempat servis terdekat sudah tidak respon terus hari kemudian hilang type penjual sekali laku raib walau bukan tanggung jawabmu masa kasih info aja tidak mau,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
bubble wrapnya tebel bgt buset ini mah aman bgt wkwk pokoknya barangnya diterima dg keadaan gaada yg rusak,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
setrikanya bagooossss langsung dipake trimakasihhhh,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
sebener e bagus aja tp ada yang pecah saya coba chat dr jumat malam ga dibalas sampao senin gimana donggg,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
kemasanya hancur sobek mana barangnya sudah tergores klw jual yg benar dong jgn kasih yang sudah tergores,unknown,2,Multi-platform,Negative,Bentuk,Yes,Lainnya,No
performa yg menarik adalah slot utk sd card dan sim card dan bonusnya,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
tampilan ergonomis performa praktis kualitas ekonomis kekurangan kursi arm rest yg 1d dan pad terbuat dr plastik sehingga kurang nyaman di tangan,unknown,2,Multi-platform,Negative,Bentuk,No,Perabotan,No
pengiriman oke barang bagus dan berfungsi warnaya juga oke banget,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
mantab all item complete,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
semoga bagus yaa soalnya ga kita unboxing krn utk hadiah teman pengemasan aman bgt tp pengirimannya lama sekali makasi,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
yg satu kgdean yg sau ke kcilan gpp lh biarin,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
sejauh ini nyaman responsif dan ergonomi nya pas banget ditangan cocok buat desain game maupun kantoran nyaman dan praktis tinggal plug and play ukuran mouse pas ditangan best value mouse,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
nilai sendiri aja video lengkap dari unboxin ga ada respon seller,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
bautnya ada yg kurang mohon lebih teliti,unknown,2,Multi-platform,Negative,Rasa,No,Lainnya,No
fitur terbaik sepadan dengan harga lumayan alhamdulillah paket nya uda sampai makasih ya seller semoga awet poto sama vidio nya g di buka abis in orderan pelangan,unknown,3,Multi-platform,Neutral,Harga,No,Perabotan,No
okelah cuma mungkin krn kepala saya kegedean,unknown,3,Multi-platform,Neutral,Lainnya,No,Lainnya,No
baguss lengkap bonusnya sesuai deskripsi cuma buat hpnya kok tempat buat masukin sim cardnya ga da,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
jos walau gak di kasih otg,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,Yes
mantap produknya sesuai deskripsi,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
tidak bisa memberikan nilai kpd produk soalnya buat kado kata temen bagus semoga awet secara merk cosmos sudah merupakan merk yg bagus,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
ceppet di kemas licin warnanya juga elegan,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
pengiriman sangat cepat respon penjual baik top lah pokoknya,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
top deh barangnya ga kecewa thx y shope,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
kemarin pesan hari ini sampe overall bagus cuma pesen biru datang pink tapi gapapa sukaa owner nya juga baik fast respon,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
bagus sayang untuk dipakai dilaptop harus pake tambahan konektor dulu,unknown,2,Multi-platform,Negative,Bentuk,No,Elektronik,No
ada baut hilang,unknown,2,Multi-platform,Negative,Rasa,Yes,Lainnya,No
awalnya saya kira udah bagus semua eh pas hari make microphone nya lepas sendiri mana gk bisa dimasukin lagi karena kabelnya ikut keluar terpaksa saya harus perbaiki sendiri namun tetap saja gk bisa dipasang lagi dan harus dilem padahal saya memakai dengan wajar saja kecewa sih,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
produk bagus cuma tolong ditambah opsi kurir lain jnt lambat kalo di daerah saya terima kasih,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
untuk keyboard sendiri sudah puas packagingnya lumayan walaupun gak ada bubblewarp tapi tetep aman karena di dalam kemasan keyboardnya sendiri ada gabusnya buat nahan benturan namun disini ada kendala dimana waktu mau di unboxing tau taunya segelnya udah kepotong tpi tidak masalah buat saya selagi keyboardnya normal,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
agak kebakar dalem pancinya gitu boleh direfund ga ya,unknown,3,Multi-platform,Neutral,Lainnya,No,Perabotan,No
dandang panci nya bagus aman g ada yg penyok pengirimannya cepat kurirnya baik bisa jadi langganan masih seller makasih lazada,unknown,5,Multi-platform,Positive,Bentuk,No,Perabotan,No
sudah smpai tp sayang ny kekecilan tp y g law lah mkasih y pak,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
barang sudah sampai dengan selamat akan tetapi sensornya sangat sensitif sekali pada saat saya angkat mousenya sedikit pointer masih bisa bergerak,unknown,3,Multi-platform,Neutral,Lainnya,No,Elektronik,No
pke estimasi hri tpi dtg hari tidak prosedur,unknown,2,Multi-platform,Negative,Lainnya,No,Elektronik,No
bertugas menggantikan cooling pad lama yang sudah ko saat produk baru diterima langsung di test tanpa ada laptop diatasnya hasilnya kipas kecil bergetar dan bersuara lebih berisik dari kipas yang lain tapi entah kenapa saat laptop diletakkan di atas cooling pad suara aneh dari kipas kecil itu berkurang sudah info ke seller dan disarankan utk retur barang ke blibli karena perlu waktu lagi untuk prosesnya saya relakan kondisi tersebut sekalian biar tahu tahan berapa lama kipasnya apakah produk yang dikirim ke saya itu di test atau tidak sebelum dikirim karena jelas terdengar suara yang agak kasar dari kipas kecil bahan tatakan laptopnya seperti dari plastik bukan dari aluminium,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
pisaunya terlihat kuat dari bahannya ukurannya sedikit besar mungkin supaya bisa memotong makanan yg besar,unknown,3,Multi-platform,Neutral,Bentuk,No,F&B,No
ok buat harganya tapi kykny kurang tinggi hanya 21cm dan kurang buat pengguna sensitivity rendah,unknown,2,Multi-platform,Negative,Harga,No,Lainnya,No
sebenernya pengirimannya cepet cuma pengemasannya aja yang lama mixernya belum dicobain semoga aja awet makasih seller,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
gimna nhi bang kok kibordx ndk xala,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
kualitas baik packing rapih tapi kayaknya fitur hp nya sudah bayak yang tidak support jadi dihilangkan otg nya wkwk tapi untuk pemakaian semuanya bagus ps pc getarannya terasa semua,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
keren bangggeeettt pisau nya next mau beli lagi,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
motif ny g sesuai gambar pdhal pesanan tmen hhhewww,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
barang berfungsi tp packing nya kurang safety jadi ada penyok sedikit,unknown,2,Multi-platform,Negative,Lainnya,Yes,Elektronik,No
bagus banget bakal langanga ini sis,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
barang mantap fast respond berfungsi dengan baik cuman sayang kardus nya penyok,unknown,2,Multi-platform,Negative,Rasa,Yes,Lainnya,Yes
barang mendarat dengan aman sesuai request,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
penjual ramah respon cepet pengiriman cepet ga ada rusak juga barang bagus juga cuma kemarin ga sesuai warna aja pingin hitam di kirim putih,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
dah sampe cepet bgt blom dicoba sih mudah2an bagus thanks seller gilogilo dan lazada,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
build qualitynya oke bgt mic bagus harga terjangkau qualitas suaranya bagus,unknown,5,Multi-platform,Positive,Harga,No,Elektronik,No
sudah beberapa hari pemakaian berfungsi dengan baik dapat case dan screen protector juga,unknown,5,Multi-platform,Positive,Lainnya,No,Elektronik,No
bagus bangettt gambar jernih pelayanan sailer baik banget trimakasih saya puas dengan produknya dan tokonya amanah betull berkah selalu,unknown,5,Multi-platform,Positive,Bentuk,No,Perabotan,No
fitur terbaik lucu pisan sepadan dengan harga harga nya sesuai bagus pisan suka pisan tidak mengecewakan,unknown,5,Multi-platform,Positive,Harga,No,Lainnya,No
tampilan bagus performa bagus kualitas baik seller amanah info pemasangan mmg tdk ada tp gampang merakitnya diterima paketnya tdk ada kekurangan trmksh shopee,unknown,3,Multi-platform,Neutral,Bentuk,No,Perabotan,No
barang penyok tutup g lengkap kapok belanja dsini,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
barangnya udh lama tersimpan ya byk karat2an di kertas dan dusnya blm dicoba semoga berfungsi dgn baik,unknown,2,Multi-platform,Negative,Lainnya,No,Fashion,No
brg sesuai order agak bau karet tp overall oke,unknown,5,Multi-platform,Positive,Rasa,No,Lainnya,No
barang kelihatannya oke sayangnya pas kebetulan aja dapet barangnya yg error,unknown,3,Multi-platform,Neutral,Bentuk,No,Lainnya,No
sangat kecewa karena barang nya pecah,unknown,2,Multi-platform,Negative,Lainnya,Yes,Lainnya,No
terima kasih banyak,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
kualitas produk sangat baikkk bener2 bagus bangettt gak nyesel jauh2 pesen tp hasilnya sebagus inii,unknown,5,Multi-platform,Positive,Bentuk,No,Fashion,No
barang bagus pengiriman aja lama buat yg mau beli jangan pilih sicepat sebagai jasa pengiriman hari baru sampai,unknown,2,Multi-platform,Negative,Bentuk,No,Lainnya,No
bener2 puas bagt,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
awalnya rusak tp diganti dgn tokox bertangjwb sih cmn jadinya berat n mahal di ongkir bolak balik,unknown,2,Multi-platform,Negative,Harga,Yes,Lainnya,No
sipp bagus sesuai ekspetasi pengiriman juga cepet tambah bubble wrap biar aman,unknown,5,Multi-platform,Positive,Bentuk,No,Fashion,No
barangnya masih segelan semoga awet,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
semoga awet pertama beli merek ini baru di coba kalau mau coba dicek dulu ya kenceng gaknya masangnya masih baru agak bau karet,unknown,2,Multi-platform,Negative,Rasa,No,Lainnya,No
bagus sesuai dengan deskripsi,unknown,5,Multi-platform,Positive,Bentuk,No,Lainnya,No
good quality perfect for streaming also it has rainbow lights,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
bintang dulu ya soalnya belum aku cobaa,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
maaf ya kk fhoto sm videonya beda barang dah diambil cust aq overall bagus kk dah dicoba semuanya mantap kt cust aq mksh ya kk,unknown,2,Multi-platform,Negative,Rasa,No,Elektronik,Yes
barang sampai alhamdulillah bakaran cek ok arang cek ok tinggal daging nya yg gak ada neh hxhtsjtsoydkdykfykdxkxxkckhcjchjhxjxgkchkhckhckhxkhckfhlfhofulh,unknown,2,Multi-platform,Negative,Lainnya,No,Lainnya,No
di luar ekspetasi bangeeeettt ga nyangka ternyata sebesar ini dngn harga segini murceeee bangetttt thankyou maspion,unknown,5,Multi-platform,Positive,Harga,No,Fashion,No
waktu kurirnya tlfon hatiku dadigdug saya takut kecewa dan akhirnya kurir suda di rumahku dan aku mencobanya akhirnya keraguanku hilang jadi bahagia makasih tokohnya makasih lazada makasih kurir yg baik hat smoga toko ini lancar,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
sepadan dengan harga lumayan mahal mic nya ga bisa di pakai kresek kresek,unknown,3,Multi-platform,Neutral,Harga,No,Elektronik,No
kardusnyaa rusaaak pas dicoba untung gaada kendalaa next mungkin packingnya harus lebih aman yaa,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
terimakasih untuk info dan bantuannya min juara,unknown,5,Multi-platform,Positive,Lainnya,No,Lainnya,No
bagus banget buat harga dibawah 200k warna nya cakepp build quality juga oke packing nya juga safe banget pake dus semoga awett,unknown,5,Multi-platform,Positive,Bentuk,No,Elektronik,No
bagus banget tapi sayangnya besoknya saya mau ngetik di keyboard fisik gak bisa kenapa ya,unknown,3,Multi-platform,Neutral,Bentuk,No,Elektronik,No
masa barang baju dikirim yala mati lagi langsu noter habis satu juta dara gak maduk akal sama sekali yesel aku beli di sini gak lagi pesen di toko ini layar ya aja putih doang rugi rugi,unknown,2,Multi-platform,Negative,Bentuk,Yes,Elektronik,No
