Review_Text,Review_Text_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Dataset_Source,Data_Split
Brg ok. Good job,brg ok good job,29 Des 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
barang good,good,08 Agu 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
thanks.. spec sesuai diskripsi.. lazzmall oke.,terima kasih spec sesuai skripsi lazzmall oke,27 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"Bagus. Barang dateng cepat, mulus ga ada cacat ty",bagus dateng cepat mulus cacat ty,26 Jul 2017,4,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
gambarnya kurang bagus,gambar bagus,01 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Keridit. Cara keridit gimana.....,keridit keridit gimana,2019-10-02,1,Lazada,Negative,Lainnya,No,Elektronik,No,Lazada,train
Pengiriman sangat cepat tidak ada keluhan lain. Barang berfungsi dengan baik.,kirim cepat keluh fungsi,24 Jan 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
barang sesuai deskripsi.. mantap ... pengiriman cepat nyampe nya dan sngt ramah...,sesuai bagus kirim cepat nyampe sngt ramah,07 Nov 2018,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
"Tvnya Bagus, Udah USB Movie. TV nya Bagus, Harga Bersaing, USB Udah Bisa Play Movie, Music, Photo. Klo Pke Antena Analog Di Daerah Saya Kurang Bagus.",tvnya bagus udah usb movie tv bagus harga saing usb udah play movie music photo klo pke antena analog daerah bagus,13 Okt 2017,5,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
alhamdulilah barangnya baru tiba & baru aku cek ternyata televisi datang dengan selamat tanpa cacat sama sekali toko yang amanah😍. semogah awet tanpa kendala selama pemakaian... next order lgi untuk saudara & om aku,alhamdulilah barang cek televisi selamat cacat toko amanah semogah awet kendala pakai next lgi saudara om,02 Jul 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"makanan cukup enak, harga masuk akal, hanya parkir untuk mobil agak terbatas",makan enak harga akal parkir mobil batas,2025-06-15T16:16:59.428Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
"Telah di terima dengan keadaan yang baik dan berfungsi dengan baik, cukup memuaskan. Prosesnya juga sangat cepat, tapi pengirimannya agak lama, mungkin karena waktunya memasuki waktu lebaran kali ya! Jadi, Biarlah.. Terima kasih Lazada, senang sekali berbelanja di tempat anda... Sangat memuaskan...",fungsi muas proses cepat kirim pasuk waktu lebaran biar kasih lazada senang belanja muas,29 Mei 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"pengiriman cepat, packing rapi, kualitas mantap",kirim cepat packing rapi kualitas bagus,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No,PRDECT-ID,train
"berkualitas dan cepat sampai. pesen dua hari lalu, udh nyampe td pagi, lebih murah dari di toko toko, terbungkus rapi, dan berfungsi dengan baik, ada stempel aslinya tp tidak ada garansi aja, tpi okelah flashdisk nya",kualitas cepat sen nyampe td pagi murah toko toko bungkus rapi fungsi stempel asli garansi oke flashdisk,29 Mei 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
barang ok,ok,09 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
thx lazada,terima kasih lazada,11 Mei 2017,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"parah bgt, padahal baru nyalain perdana, langsung error, ga bisa nyala, ditukar unit baru pun ga bisa, harus ke service center, pdhl ini buat kado, kapok belanja disini",parah banget nyalain perdana error nyala tukar unit service center pdhl kado kapok belanja,unknown,2,Multi platform,Negative,Lainnya,Yes,Lainnya,No,Dipawidia,train
Tertarik. Klo ngicil bayar nya kemana,tarik klo ngicil bayar mana,2019-10-02,4,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
"Pengiriman cepat, barang bagus, seller dan kurir kerjasamanya baik.. Jadi paket ga hancur walaupun packing biasa.. Semoga awet",kirim cepat bagus seller kurir kerjasamanya hancur packing moga awet,08 Agu 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Barang bagus Sip,bagus sip,14 Jan 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"bagus, harganya yg murah dan berkualitas",bagus harga murah kualitas,31 Okt 2016,4,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
"paket dah sampai dengan baik,packing rapi,kurir ramah dan joss dah.moga ja barangnya awet.mkc lazada",dah packing rapi kurir ramah joss dah moga ja barang awet mkc lazada,30 Apr 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"barang ok...sesuai deskripsi....cm skrup"" ny ga ada yg untuk mnempel.ke breket .",ok sesuai cm skrup ny mnempel breket,10 Des 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Packaging rapi. Proses pesanan cepat. Gampang dipakai. Respon penjualnya top. Packaging aman 🙏.,packaging rapi proses pesan cepat gampang pakai respon jual top packaging aman,unknown,5,Multi platform,Positive,Bentuk,No,Lainnya,No,Dipawidia,train
Mohon untuk tidak membeli flashdisk/barang elektro lainnya ditoko ini.. saya pesan 2 gak ada yg fungsi satupun.. ini nipu agan2..barang sdh gak bisa dipakai didaur lagi...KECEWA SUMPAH ...!!!!!,beli flashdisk elektro toko fungsi satu nipu agan2 pakai daur kecewa sumpah,06 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"Produk bagus sih...tapi pengiriman lama,10 haribaru sampe",bagus kirim haribaru sampe,11 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"pengiriman aman sesuai jadwal, sdh dicoba barang bagus sesuai deskripsi",kirim aman sesuai jadwal coba bagus sesuai,11 Nov 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
super cepat pengiriman.. gambar lumayan bagus... semoga awet..,super cepat kirim lumayan bagus moga awet,09 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"apa yang anda lihat apa yang anda dapatkan,pengiriman pake ninja expres mantap diluar jangka waktu pengiriman,semoga tetap menjaga kepuasan pelanggan tidak hanya diawal saja seperti jasa logistik lainnya",dapat kirim pake ninja expres bagus luar jangka waktu kirim moga jaga puas langgan awal jasa logistik,15 Mei 2019,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
dijamin asli. macbook pertama dan barang dijamin asli. hanya saja pengemasan/pengepakan untuk pengiriman barang hanya menggunakan kardus dan bubble wrap sehingga sangat beresiko. takut kenapa2 aja barangnya soalnya barang elektronik dan mahal buat saya tapi packingnya cuma kardus. untung aja dalemnya ga kenapa2 cz kardus luarnya udah lumayan penyok,jamin asli macbook jamin asli emas epak kirim kardus bubble wrap resiko takut kenapa2 barang elektronik mahal packingnya kardus untung dalem kenapa2 cz kardus luar udah lumayan penyok,21 Mei 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
tvny bagus!!! pengirimannya jg cepet!!! makasiii Lazada makasii sellernya...,tvny bagus kirim cepet makasiii lazada makasii sellernya,17 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
tv sampai tepat waktu dan tanpa kendala..hanya saja vip card nya tidak saya dpt mohon penjelasan nya,tv waktu kendala vip card dpt jelas,09 Nov 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
bagus tv nya.... recomend dah alhamdulillah,bagus tv recommended dah alhamdulillah,27 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Bagus barangnya, packing nya jg bagus makasihya",bagus barang packing bagus makasihya,16 Jan 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Fitur Terbaik:belum dicoba Sepadan dengan Harga:yes pengirimannya lumayan cepett, semoga awet terimakasih banyak",fitur baik coba padan harga yes kirim lumayan cepett moga awet terimakasih,unknown,3,Multi platform,Neutral,Harga,No,Lainnya,No,Dipawidia,train
"Pengiriman cepat,packing rapi jadi barang aman,thanks samsung dan lazada,recomended.....👍",kirim cepat packing rapi aman terima kasih samsung lazada recomended,11 Nov 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Mantap Smart TV Android 40 Best Value Performance 2018, Fitur Lengkap, Kualitas Gambar Jernih, Android 8.0 Smooth and Very Fast loading, Gak kaya merk sebelah bilang nya FHD pas di cek cuma HD :v",bagus smart tv android best value performance fitur lengkap kualitas jernih android smooth and very fast loading kaya merk belah bilang fhd pas cek hd,11 Nov 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"produk original, packing pake kayu mntap pkoknya gx da yg lecet meskipun lambat dalm pngirimn tpi ttp okelh, pesan tgl 12 sampai 24, cukup lama menunggunya, semoga produk awet , Tq lazmll, sukses selalu.",original packing pake kayu mntap pkoknya gx da lecet lambat dalm pngirimn ttp okelh tgl tunggu moga awet tq lazmll sukses,12 Des 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Ramah kursi roda, ada mushola nyaman full AC.",ramah kursi roda mushola nyaman full ac,2025-09-28T07:54:49.499Z,5,Google Maps,Positive,Bentuk,No,F&B,No,GoogleMaps,train
"makanan enak semua, tempat nyaman, staff ramah -maya",makan enak nyaman staff ramah maya,2026-04-20T10:58:02.927Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
Ini tv harga nya murah bangat.... Mau beli 3 untuk pos ronda,tv harga murah bangat pos ronda,2019-10-02,2,Lazada,Negative,Harga,No,Elektronik,No,Lazada,train
"Barang datang dengan selamat, beli 2 pcs tapi yg 1 pcs gak bisa di pakai OTG, tolong di Check dulu kalo mau kirim barang yah.... tapi yah harap dimaklum, di sesuaikan dgn harga.. makasih Lazada",selamat pcs pcs pakai otg tolong check kalo yah yah harap maklum sesuai harga terima kasih lazada,05 Jul 2019,4,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
"Nice place, nice view, nice food, nice everything... 😁😁😁 Ini kali keduanya makan d sini. Dan tetep ya, walaupun penuh, ambiance nya tetep nyaman, ditemani dengan pemandangan danau dan angin sepoi2. Dan yg paling penting, makanannya cepat sampai. Dan rasanya juara. Kalian mesti coba udang gandum nya... JUARA. hahahah. Oh ya saya bawa bayi, dan ttp nyaman buat bawa bayi makan d sini.",nice place nice view nice food nice everything makan tetep penuh ambiance tetep nyaman tani pandang danau angin sepoi2 makan cepat juara mesti coba udang gandum juara hahahah oh bawa bayi ttp nyaman bawa bayi makan,2026-02-18T13:31:23.614Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
lihatla sinar bintang lima tu,lihatla sinar bintang tu,03 Agu 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
barang bagus.pengiriman juga cepat,bagus kirim cepat,02 Apr 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
sudah diterima dengan baik .. meskipun gambar bergaris gak rata mungkin antena tv nya yg kurang bagus. mudah2an awet gak ada kendala.,terima gar rata antena tv bagus mudah2an awet kendala,09 Sep 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
stb langsung p&amp;p mantappppp tapi deliverynya lama bener padahal sama tangerang.,stb amp mantappppp deliverynya bener tangerang,unknown,2,Multi platform,Negative,Rasa,No,Lainnya,Yes,Dipawidia,train
Barang sesuai pesanan. Barang sesuai pesanan,sesuai pesan sesuai pesan,01 Jul 2016,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
Pelayanannya PD cakep sAma asri bngt tmptnya...,layan pd cakep asri bngt tmptnya,2021-04-11T09:56:16.005Z,4,Google Maps,Positive,Lainnya,No,F&B,No,GoogleMaps,train
"Barang sampai dengan selamat, packing aman, barang original advan &amp; baru. untuk smartphonenya + kelebihan : compact, ringan, os enteng &amp; gak ribet, speaker bagus, batre awet, free kartu smartfren + case. - kekurangan : kamera jelek, layar kurang bagus, bloatwarenya mayan banyak, kalau charge pake cas bawaan mayan lama. + cocok buat : orang tua, belajar online, sebagai hp ke 2, dan yang nyari hp compact tapi kebutuhan cuma buat sosmed &amp; chat aja. - gak cocok buat : yang nyari hp murah buat maen game &amp; foto2. Thank Seller 👍",selamat packing aman original advan amp smartphonenya lebih compact ringan os enteng amp ribet speaker bagus batre awet free kartu smartfren case kurang kamera jelek layar bagus bloatwarenya mayan charge pake cas bawa mayan cocok tua ajar online hp nyari hp compact butuh sosmed amp chat cocok nyari hp murah maen game amp foto2 thank seller,unknown,2,Multi platform,Negative,Bentuk,No,Lainnya,No,Dipawidia,train
Bekerja dgn baik 5 harian tiba di kota singaraja bali,hari kota singaraja bal,15 Mei 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
bagus. speakernya mantap. tvnya jernih. cuma respon tokonya yang harus di tingkatkan. masa di chat nggak pernah mau bales. kalo barangnya sih ok,bagus speakernya bagus tvnya jernih respon toko tingkat chat bales kalo barang ok,unknown,2,Multi platform,Negative,Rasa,No,Lainnya,Yes,Dipawidia,train
Apaan nih colokannya kaga pas sama laptop kecil amat,colok kaga pas laptop,02 Jan 2019,1,Lazada,Negative,Bentuk,No,Elektronik,No,Lazada,train
Memuaskan. Bekerja dengan baik dan tanpa kendala,muas kendala,16 Jun 2016,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"suasana nya nyaman,makanannya enak kepitingnya sedep,cuminya seger",suasana nyaman makan enak kepiting sedep cuminya seger,2026-02-15T07:01:49.147Z,4,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
Fitur Terbaik:bagus Sepadan dengan Harga:sepadan Terbaik,fitur baik bagus padan harga padan baik,unknown,5,Multi platform,Positive,Harga,No,Lainnya,No,Dipawidia,train
"Bagi yang nyari porsi nasi goreng banyak mungkin bisa kesini. Nasi goreng dengan porsi barbar, beli 1 porsi tapi untuk makan 2 orang. Untuk rasa masih ok, pelayanan cepat karena beli di sore hari. Recommended bagi yang mau coba & porsi banyak",nyari porsi nasi goreng kesini nasi goreng porsi barbar porsi makan ok layan cepat sore recommended coba porsi,2024-12-17T01:51:53.895Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
Suaranya mantap ??. Packaging aman ??. Barang Mudah Digunakan.,suara bagus packaging aman mudah,unknown,5,Tokopedia,Positive,Rasa,No,Elektronik,No,PRDECT-ID,train
"Barang bagus , tapi tidak sesuai fungsi dari usb 3.0nya,, Transfer Ratenya kurang dari 130 MB/s",bagus sesuai fungsi usb 0nya transfer ratenya mb,21 Sep 2018,4,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Barang sdh sampai. Trims smg awet.,trims smg awet,23 Mar 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Good product and delivery fast,good product and delivery fast,10 Sep 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
Produk yang datang sesuai dengan foto. Hardisknya gak nyangka ringan banget untuk dibawa bawa meeting kantor . Keren ! btw thx buat kenkez,sesuai hardisknya nyangka ringan banget bawa bawa meeting kantor bagus btw terima kasih kenkez,2019-10-02,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
pengiriman cepat. pengiriman nya cepat dan sangat memuaskan,kirim cepat kirim cepat muas,08 Agu 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"bagus,istri puas",bagus istri puas,11 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
terima kasih lazada,kasih lazada,06 Mei 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
kiriman cepat sekali. paket sudah sampai dan mulus. lumayan lah dengan harga segitu,kirim cepat mulus lumayan harga segitu,unknown,3,Multi platform,Neutral,Harga,No,Lainnya,No,Dipawidia,train
barang cepat sampai. pesan tgl 29 sep. tanggal 1 okt pagi sdh sampai. kecepakatan bagus dan rekomen,cepat tgl sep tanggal okt pagi kecepakatan bagus recommended,29 Sep 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
top markotop. mantap... semua nya ok... cman prosesnya aja kurang cepet jadi pengiriman nya juga kurang cepet,top markotop bagus ok cman proses cepet kirim cepet,24 Mar 2016,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
"kalo bisa gak usah beli deh barang ini. ini harga murah. tpi ya kualitasnya jga rendah banget. kaya jual produk gagal. punya saya 3 bulan aja layar udah MATI TOTAL. udah dibawa ke servis center suruh ganti layar yang mana harganya hampir kaya tvnya 1jt lbh. apa lgi klo pengaturan resolusi nih TV. kacau parah full HD masa gak pas sama layarnya sampe kepotong"". kan jelas ya ini barang cacat tpi dijual apa adanya tanpa melihat kualiatasnya. cma yg penting laku aja nih tv. kecewa parah sih gak bakal pake brand ini lagi.",kalo harga murah kualitas jga rendah banget kaya jual gagal layar udah mati total udah bawa servis center suruh ganti layar harga kaya tvnya 1jt lbh lgi klo atur resolusi tv kacau parah full hd pas layar sampe potong cacat jual kualiatasnya cma tv kecewa parah pake brand,12 Des 2018,1,Lazada,Negative,Bentuk,Yes,Elektronik,No,Lazada,train
"TV nya sudah sampai dengan selamat tidak ada kendala, tapi saya kecewa dengan pengiriman yg menurut saya amat sangat lamban, pesan nya flash sale, datang ny baru sekarang, jujur saya kecewa sama pengirimannya tolong untuk kedepannya di perbaiki metode pengirimannya",tv selamat kendala kecewa kirim lamban flash sale ny jujur kecewa kirim tolong depan baik metode kirim,11 Nov 2018,4,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
Lumayan. Bisa bayar ditempat gk ?,lumayan bayar tempat,2019-10-02,4,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
Fitur Terbaik:bagus sekali Sepadan dengan Harga:tampilan elegan Mendarat dengan baik mulus tanpa cacat. Makasih padahal pengiriman jauh. Tapi bagus banget suka..,fitur baik bagus padan harga tampil elegan darat mulus cacat terima kasih kirim bagus banget suka,unknown,5,Multi platform,Positive,Bentuk,No,Lainnya,No,Dipawidia,train
terima kasih lazada barang sudah diterima dgn baik dalam keadaan baik kelengkapan semua ada semoga lazada makin maju dan makin baik dan semoga barangnya awet..,kasih lazada terima lengkap moga lazada maju moga barang awet,27 Mar 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"baru 3 hari pakai, udah kena power nya.... harus di garansi.... dan nunggu sparepart dari Jakarta",pakai udah power garansi nunggu sparepart jakarta,10 Des 2018,3,Lazada,Neutral,Lainnya,No,Elektronik,No,Lazada,train
barang sesuai pesanan mantap cuma pengirim terlalu lama sampe 10 hari baru sampe,sesuai pesan bagus kirim sampe sampe,16 Sep 2019,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
Mantap 2.1 jt bisa dapet tv android 40 Inc,bagus jt dapet tv android inc,13 Mei 2019,5,Lazada,Positive,Rasa,No,Elektronik,No,Lazada,train
makanan nya enak @viona,makan enak viona,2025-07-01T13:33:28.738Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
Barang nya bagus.pengirimannya juga cepet cuma 1 hr nyampe .cuman ada pertanyaan dr sy plasdisk ini masih kosong apa udah ada pile/musik gitu mohon inponya,bagus kirim cepet hr nyampe cuman dr sy plasdisk kosong udah pile musik gitu inponya,10 Jun 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
Philips 32 inch LED HD TV - Hitam (Model 32PHA4100). pelayanan Cepat Mohon Invoive dikirimkan. terima kasih,philips inch led hd tv hitam model 32pha4100 layan cepat invoive kirim kasih,27 Feb 2018,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
makanan dan kopi yang mantap buat nongki bareng buat pacaran,makan kopi bagus nongki bareng pacar,2026-03-19T12:44:51.995Z,5,Google Maps,Positive,Rasa,No,F&B,No,GoogleMaps,train
Good sangat,good,26 Nov 2018,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"Barang HP original produk, sangat bagus dan sesuai ekspektasi. Pengiriman sangat safe dengan box kayu dan bubble wrap didalamnya. Dapat hadiah tas HP juga.",hp original bagus sesuai ekspektasi kirim safe box kayu bubble wrap dalam hadiah tas hp,04 Apr 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Barang bagus, sesuai deskripsi dan foto, kecepatan transfer cepat dan membantu dengan adanya indikator warna putih dan biru pada Hardisk untuk mengindikasikan bahwa USB tersambung ke port 3.0/2.0.",bagus sesuai cepat transfer cepat bantu indikator warna putih biru hardisk indikasi usb sambung port,13 Apr 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Sesuai harapan mulai dari pelayanan, kualitas barang dan wkt kirim",sesuai harap layan kualitas wkt,24 Apr 2016,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Bilang,y bisa buat mic ternyata tdk bisa",bilang mic,01 Sep 2019,1,Lazada,Negative,Lainnya,No,Elektronik,No,Lazada,train
Barang Bagus,bagus,11 Des 2017,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
brg bagus.sesuai dgn gambar pengiriman cepat.mksih lazada,brg bagus sesuai kirim cepat mksih lazada,08 Apr 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
"Barang sudah saya terima. thank's gan, tinggal uji coba.",thank gan tinggal uji coba,15 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
Sudah diterima dalam keadaan lengkap dan ada bonusnya juga. Terima kasih seller,terima lengkap bonus kasih seller,unknown,5,Tokopedia,Positive,Lainnya,No,Kesehatan & Kecantikan,No,PRDECT-ID,train
"diluar perkiraan. estimasi diterima tgl 3 Mei, eh tanggal 29 April udah sampe, thanks Lazada & Ninja express, tgl 30 di pasang baru 10 menit mati :( & setiap di colokan kabel power selalu mati listriknya, sepertinya ada yang konslet, ini ke garansi atau return? Barang baru kok gini :(.",luar kira estimasi terima tgl mei eh tanggal april udah sampe terima kasih lazada ninja express tgl pasang mati colok kabel power mati listrik konslet garansi return gin,27 Apr 2018,2,Lazada,Negative,Bentuk,Yes,Elektronik,No,Lazada,train
pretty good. Free stuff kept as spares. Fast delivery and for the price very happy.,pretty good free stuff kept as spares fast delivery and for the price very happy,23 Okt 2018,4,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
barang sudah sampai dengan selamat dan sudah di tes berfungsi dengan baik makasih,selamat tes fungsi terima kasih,24 Jan 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
tv ny bagus walau ga pake packing kayu.. cuma mash binggung konec wifi ny yg pasti recommend lah tanks coocaa,tv ny bagus pake packing kayu mash binggung konec wifi ny recommend tanks coocaa,25 Jul 2019,5,Lazada,Positive,Bentuk,No,Elektronik,No,Lazada,train
brg bgus tnpa da cacat sekali mksh lazada dan ninja udh krm brg dgn aman...,brg bgus tnpa da cacat terima kasih lazada ninja krm brg aman,21 Sep 2019,5,Lazada,Positive,Lainnya,No,Elektronik,No,Lazada,train
"untuk pengiriman cepat, dan kurirnya ramah. untuk kwalitas barang lumayan lah...karena kadang saat mengcopy data ke flash drive nya ada yang terbaca dan ada yang tidak. contohnya saya mengcopy file musik ke flash drive nya. stelah data slesai di copy ketika dibuka file nya kosong.",kirim cepat kurir ramah kwalitas lumayan kadang mengcopy data flash drive baca contoh mengcopy file musik flash drive stelah data slesai copy buka file kosong,15 Mar 2019,3,Lazada,Neutral,Lainnya,No,Elektronik,No,Lazada,train
"di cantumkan free ongkir ,ternyata masih di tagih ongkir 25.000",cantum free ongkir tagih ongkir,unknown,2,Multi platform,Negative,Harga,No,Lainnya,No,Dipawidia,train
tidak sesuai,sesuai,unknown,2,Tokopedia,Negative,Lainnya,Yes,Fashion,No,PRDECT-ID,train
Murah. Ini TV buat di pos ronda komplek saya.. Barang sudah sampai.. terimakasih lazada.,murah tv pos ronda komplek terimakasih lazada,2019-10-02,5,Lazada,Positive,Harga,No,Elektronik,No,Lazada,train
