"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","ulsn","w8nwRe","dSlJg","Hzvxle","pkWtMe","dSlJg 2","NlVald","NlVald 2"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXXTvTwTcPy92Ue8MLZVRL0mv_6fVAVkLVQrF2qJSrfk0AcOFIMRg=w45-h45-p-rp-mo-ba2-br100","Yona Lotusia Pradana","Local Guide · 11 ulasan · 11 foto","","","3 bulan lalu","Hai Warga Bekasi 🤗
Fix wajib coba!
Udah bolak-balik ke sini dan nggak pernah gagal : steak, burger, mac n cheese semuanya juara 🍔🥩🔥 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXLHne70qIudg3rDb2VG7QJZ1qK-qBwDVyWuwRxMQw1pCYocR01=w45-h45-p-rp-mo-ba5-br100","Oki Satria","Local Guide · 168 ulasan · 735 foto","","","7 bulan lalu","Ehm...
Alhamdulillah kemari pas Ulang Tahun, dpt free.
Sirloin meltique, enak ada di lv. Yg beda dengan daging meltique yg pernah saya …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjVdJE0O3sApFTHncf3awRt_Fi4ry_H9X14yLAkaestsilak3PJr=w45-h45-p-rp-mo-ba2-br100","muthaharah yunus","Local Guide · 9 ulasan · 12 foto","","","7 bulan lalu","Duhhh ini enak bgt sihhh dan murah. Ini first time aku ke double U steak krn penasaran mau redeem birthday treat nya, first impressionnya beyond expectation bgt, rasa, harga, ambience, facilities, pelayanan, staff nya baik baik bgtttt ramah …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVLz61HhPqJheUQxCcgtomRpNPops-q7RqQ3218YrbREZrz4CI=w45-h45-p-rp-mo-ba3-br100","Azizah","Local Guide · 48 ulasan · 40 foto","","","4 bulan lalu","Bakalan balik lagi kesini, pelayanannya oke banget. Sebelum pesen makan, langsung ditawarin birthday treats. Dapet free steak & cake yg enak banget! …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWX3fpgbAoTj-TMfydo2bfkFV-YjIpnO3capW8f6xSkCbCJ2Y0H=w45-h45-p-rp-mo-ba5-br100","Bunga Mayang","Local Guide · 73 ulasan · 918 foto","","","Diedit 7 bulan lalu","Lokasi yg baru punya vibes cozy, desainnya lebih nyaman, terang & lebih luas. Ada kolam ikan, pilihan tempat duduknya smoking room, non-smoking area, sampai outdoor di balkon lantai 2. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXGbmGZ6z6cy40GGP0vkVmOTZEF_W6ZkYqtmRzkAIOiXT6YWa_9Ww=w45-h45-p-rp-mo-br100","Rafa Adlian","8 ulasan · 4 foto","","","3 bulan lalu","Bintang 1 untuk manajemen yang nggak fleksibel. Kami bawa kue ulangtahun sendiri cuma buat syarat celebrate dan foto, bukan untuk dikonsumsi di tempat.
Aneh rasanya, niat mau spending jutaan buat dinner keluarga malah dipersulit …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjX_cPgBg5WiDIrj26PgIUiCr3aWwQK7U4TCmjZYOqZeOPul9YE=w45-h45-p-rp-mo-ba2-br100","Januar Aditya Wibowo","Local Guide · 15 ulasan · 7 foto","","","3 bulan lalu","Maaf nih niat kesini buat rayain ultah anak, tp dapat kejadian yg tidak menyenangkan hanya sekedar tiup lilin saja tidak boleh membawa makanan dr luar sampai pegawai memaksa untuk menaruh makanan di kasir saya dengan sedikit nada kesal dan …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocJy28ZnDsWUbql7itxuyD8W7PH4fSl7zUJoq9vLNJOaB43SNQ=w45-h45-p-rp-mo-br100","Khonsa Thufailla","9 ulasan · 10 foto","","","4 bulan lalu","service nya juara, staf super helpful dan ramah. tempatnya oke, bersih dan tenang. steak nya lumayan enak tp sadly agak alot, waffle fries nya yummy. saus mushroom nya juga enak. untuk buffalo wings nya enak bgt. kesini untuk claim birthday dan dapetnya steak & mini cake. thank you, sukses selalu ya😍 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVvcBY_Dxtck3-_JkalYkdbbbIYc4Q3X7kJPqSN5Qhbz7_RoQo=w45-h45-p-rp-mo-ba4-br100","Rizagita","Local Guide · 61 ulasan · 112 foto","","","3 bulan lalu","Ayooo merapat kesini siapa yg lg ultah???? Karena ada free steak dan kue dari double u 🫣🫣🫣 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWLIUB5rfjx6-hg0BWcW4vV-hA4TBPSpN82xahikmSkp339obYW=w45-h45-p-rp-mo-ba3-br100","Asti “Aciach” Budi","Local Guide · 37 ulasan · 32 foto","","","4 bulan lalu","Steaknya selalu enak, tingkat kematangan pas.
Mix veggiesnya aja yg kurang endul.
Yang saya pesan: Australian ribeye medium well, saus barbeque","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVx2hzMgHeZAtY0KyRg8cGrYiOO78XV33x4lhgIq1yCVFm4FhM=w45-h45-p-rp-mo-br100","Evita Dita (ditalollyta)","10 ulasan · 16 foto","","","4 bulan lalu","Pesen rib eye well done tp dateng medium bahkan cenderung rare. Nunggu 1 jam ternyata jadinya begini doang. Dan dagingnya udah ga panas.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXDKi38pmfxwAzvEk0iUrktRhZwhpqZLssmLoxbMGLa08HuawM=w45-h45-p-rp-mo-ba2-br100","Rabi 1680","Local Guide · 16 ulasan · 15 foto","","","3 bulan lalu","Sudah belasan kali makan disini, cuma sekali ini aja coba pesen steak yang menurut saya paling lumayan harga nya. Malah keras, banyak urat nya, gak reccomend buat saya... …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a/ACg8ocK17WctoFW5FkSkJsZy4zsmRKZwX2Ee4N5wW29KxeDXnUadng=w45-h45-p-rp-mo-ba2-br100","Momicha Recipe","Local Guide · 8 ulasan · 28 foto","","","8 bulan lalu","Overall puas makan disini. Aku tuh angkat dua jempol sama plating-nya. Tiap menu plating nya beda kalo jenis potato dan veggies-nya beda. Cakeeeppp…. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXERWRLZ4v2cjydVIb8zw8fJD01y8oplwBtBtQt6m2_vsmnEtla=w45-h45-p-rp-mo-ba3-br100","Lusia Pansilawatiningsih","Local Guide · 22 ulasan · 21 foto","","","7 bulan lalu","Udah ke sekian kali ke sini, baru kali ini keinget untuk review... selalu TOP semuanya. Ga boong kalau memang makananya ini hasil karya seorang CHEF bukan Koki... steaknya ada rasanya. Meski pernah ke steak yang ternama lainnya ini the best …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjV8a-IetTk8WrAAfVafPKptk4Bb3sOccMo_1DriTz9Rh2ZoNV0O=w45-h45-p-rp-mo-ba4-br100","Dzakia Nadaa","Local Guide · 80 ulasan · 259 foto","","","9 bulan lalu","Kesini waktu ultah suami. Dapat promo 1 steak gratis, dapat cake juga. So far birthday treats paling worth!
Steaknya enak, meledak. side dish enak, sausnya enak, semuanya enak.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocJTZ6JbMhW3DZZm30ANbJaVyATWMZnVpKSnJJfBZiLlJ4Si5A=w45-h45-p-rp-mo-ba3-br100","irwanto low","Local Guide · 19 ulasan · 19 foto","","","7 bulan lalu","Biasa makan saat di sebrang, baru tau pindah. Pesen prime rib medium well salah satu menu yang paling mahal. Pada saat datang malah setengah well done, stengah medium well done. Di complain malah servernya bilang kalau setengah gak bs …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjX_mibmDXWljv0rJ7wzEgCmSsMyzFMPcPIt7FSxrWTqnIoal6_L=w45-h45-p-rp-mo-ba2-br100","Ismed 14","Local Guide · 21 ulasan · 9 foto","","","3 bulan lalu","Steak langganan dari zaman disebrang, sayang menu favorit saya sudah gak ada ""Lamb chop"" …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocJhO7MlAFvx0nEkf5olo2SWUcCYVKLzAZdRpBschjmarwTuNA=w45-h45-p-rp-mo-ba5-br100","MA","Local Guide · 134 ulasan · 616 foto","","","setahun lalu","Kemaren coba klaim birthday treat disini karena pas ultah suami ke cabang Depok dan puas banget sama pelayanan yg di depok tuh. Yg disini kurang informatif (ga kayak yg di Depok) jadi yaudah karena kita pernah makan di double u akhirnya aku …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWfvoGejskPhTSLP2gtUCIKAJr6O1M85pkYLzpx6r2nmVmzOgW_=w45-h45-p-rp-mo-ba5-br100","zaskya m","Local Guide · 80 ulasan · 504 foto","","","setahun lalu","ke sini weekday menjelang magrib. untuk tempat parkir di depan persis resto cuma bisa 1 mobil. tapi ada tanah kosong di depan jalan yg memang disediakan untuk parkir customer. kebetulan saat saya datang disitu penuh, jadi parkirnya didepan …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVvQK_0gTiqM_0CW-iaaJu3XSlMNRtosy0XVEvcxrtLo3xxlFl3=w45-h45-p-rp-mo-ba2-br100","Yunita Muawiyah","Local Guide · 8 ulasan · 12 foto","","","7 bulan lalu","Steak nya enakkkk, juicy banget. Terus ada promo untuk yg birthday dapet sirloin harga 150k + birthday cake nya. Mantappp sih!","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocKkX4Vc1RtATg8sMK3nzQpnczKRY7AmDp59JwvSTJa11q8gsXk=w45-h45-p-rp-mo-ba2-br100","Nia Suniati","Local Guide · 12 ulasan · 11 foto","","","8 bulan lalu","Kesini karena lagi ultah di traktir sama suami dapat diskon happy deh.. untuk steak nya enak sesuai permitaan tingkat kematengan well done, porsi bikin kenyang banget.. next kalau ada hati special ke sini lagi makasihh🫶 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVCpCW-RaK5_CKVakmWzetb6Fqmc44TLEv2VhUtOC7IkWpG7F4=w45-h45-p-rp-mo-ba4-br100","Neraini Fadzilah","Local Guide · 63 ulasan · 103 foto","","","Diedit 8 bulan lalu","Yuhu yang bikin seru dari double u steak, kalau pas ulang tahun bisa dapat free steak + kue ultah lengkap lilin cukup dengan minimal pembelian Rp100 ribu. Jangan lupa bawa SIM atau KTP! …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVsjtfVHptVJ5q3B8N8AKWpXUazoUWW6k5r2tG_KoM7lkRVsl5e=w45-h45-p-rp-mo-ba3-br100","Dian R. H.","Local Guide · 17 ulasan · 31 foto","","","11 bulan lalu","Ini restoran yg bikin aku bilang “beruntung banget sih jadi orang Bekasi, mau makan di kafe enak, worth it, & ambience-nya dapet, ada resto ini” wkwkwkw. Seminggu liburan ke Bekasi, 2 kali ke resto ini. Nyobain sirloin Aus & rib-eye Aus, …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjW5cgmfmjgwu8F6uNhQB7LNyJ34txwFc63jPE2vMe4hl9Q4zg4F=w45-h45-p-rp-mo-ba2-br100","Bimo Bims","Local Guide · 6 ulasan · 25 foto","","","5 bulan lalu","Aneh padahal meja banyak kosong tapi kok disuruh waiting. Apalagi saya pesan di smoking. Terlihat jelas bagian smokingnya kosong 2-3 meja. Dibilangnya waiting. Kocak.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWK6Rcd_hEsrPsZsNlxFtkZLaqKFDiQG_4J8wuxYPzolJE8c0Q=w45-h45-p-rp-mo-ba4-br100","PRIMA IA","Local Guide · 139 ulasan · 98 foto","","","11 bulan lalu","Boleh kan ini disebut STEAK TERBAIK versi saya?
Udah BM setahun yang lalu, dan baru beberapa hari baru kesampaian
Steak terbaik, hospitality terbaik, dan steak terenak versi kami …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXDvMdjs0QZ7RobDa45F96bPWoWh21cEfh0jFfPcrY5OYjK2Vw=w45-h45-p-rp-mo-ba3-br100","hana musliha","Local Guide · 20 ulasan · 93 foto","","","6 bulan lalu","Kritik dan saran : tolong semoga bisa disampaikan, untuk kulkas ini ada di ruang bermain anak, sedangkan tempat bermainnya anak” pasti lesehan semua. Aga berbahaya pak🙏🏻 semoga bisa di pindahkan …","","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjUXE1Jqw3VmdFWG8Cg7Lk4GRuMjIajzyXTgCOpn0MIHjwojsjw=w45-h45-p-rp-mo-ba6-br100","Cyntia Habsari","Local Guide · 524 ulasan · 3.747 foto","","","setahun lalu","Selalu ke sini tiap ada momen spesial, contohnya sekarang. Ulang taun suami ku. Harusnya ke sini pas hari H ulang taunnya karena ada sirloin steak + dessert gratis tinggal tunjukin KTP di sertai pembelian apa aja 100k, tapi berhubung pas …","Lainnya","","Suka","2","","Bagikan",""
"https://lh3.googleusercontent.com/a/ACg8ocIuKC4PdX8OPGfbjlIQwcsIWNl_JzsCmmPsJ2n_f25cu25CV9qx=w45-h45-p-rp-mo-ba4-br100","Ayu Annisa Subiakto","Local Guide · 57 ulasan · 106 foto","","","8 bulan lalu","Makanannya gak di ragukan lagi. Enak banget.
Layanannya juga oke. Waitress sigap.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWRCA3as8dfgKjkzHcFlRUX_pF0sQCU0dAE7EXT0UAe-RDp2FCLXw=w45-h45-p-rp-mo-ba8-br100","Laki Bini","Local Guide · 957 ulasan · 9.283 foto","","","setahun lalu","Claim birthday steaknya yang no ribet2. Cukup tunjukin KTP/SIM dan dateng pas di hari ultah. …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjV6vC9Q8KDkDQ3FiuiDjfeupY2G4H-OrMiFhwO-MsrGVomTObpV=w45-h45-p-rp-mo-ba3-br100","Dhanny Harsono","Local Guide · 10 ulasan · 23 foto","","","4 bulan lalu","Pelayannya baik dan ramah, penjelasan cukup oke. kematangannya sesuai (medium). So far oke.","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjXSAlgPTMlbQc2k-ercwl8tKB8Gh5jGf24yksB8vkb0-6UP1wCl=w45-h45-p-rp-mo-ba4-br100","Nabil Raditya","Local Guide · 49 ulasan · 107 foto","","","setahun lalu","Perdana mencoba ke Double U Steak di lokasi yang baru, hanya pindah ke sebrang lokasi yang lama. Tempatnya lebih luas dan terbuka serta punya outdoor seating. Kualitas makanannya tetap terbaik! Pelayanannya juga ramah dan responsif. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjUuE7cxvXfnM9nu0dE18nBkeGozIdMBnukfg1GPiCyi3LJScWnV=w45-h45-p-rp-mo-ba5-br100","Dian Arianti","Local Guide · 152 ulasan · 1.155 foto","","","Diedit 9 bulan lalu","Always enaaaak 😍
udh berkali2 kesinii gapernah mengecewakan 🥰 kalo bisa improve rasa pasta pastanya yaa, soalnya menurutku pastanya kurang mantap …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVlMEpc0LW-1y4_xpF-0SLV_ZJVRqv6LYkUnFga_v0YDdii8jsW=w45-h45-p-rp-mo-ba2-br100","Muhammad Yogi","Local Guide · 22 ulasan · 5 foto","","","9 bulan lalu","Tempatnya nyaman, rasa dagingnya menurut saya enak bgt kalo dibandingin sama merek sebelah yg udah ada nama jauh, masih enakan Double U Steak. Rasa pasta nya saya juga suka enak dan terlebih lagi harganya yang menurut saya masih terjangkau. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjUzk-60xhsLmBEIUh1tFMIWaZUoljttlhBUviDQIMIPKBLfHz69=w45-h45-p-rp-mo-ba4-br100","Samuel Christian","Local Guide · 54 ulasan · 218 foto","","","setahun lalu","Tempat nya baru nih, baru pindahan. Tepat di sebrang restaurant lamanya. Datang ke sini siang hari, sekitar jam lunch di hari Sabtu. Masih sepi, nyaman sebenarnya. Hanya saja tempatnya agak panas waktu datang ke sini, padahal belum padat …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjXbl1r1Uvy0p_RyviCxp_w2GfE71HPYvz0164SZ4q6glvGR_dw=w45-h45-p-rp-mo-ba5-br100","Yulia Esterlita","Local Guide · 104 ulasan · 680 foto","","","setahun lalu","Tempat makan steak favorite🤩🤩 untuk keluarga, kumpul gang atau AW dengan teman2 kantor.
Rasanya mantapp, terutama steak cafe de paris! Option minumannya juga banyak.
Tempatnya bersih, nyaman dan keren! …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjUXGHE9P19DtKzw1DeOvdxp8Slxm8tZS3Qd6PUC5R1Mb6D6XVMc=w45-h45-p-rp-mo-ba3-br100","Nurul Afifah Febrifilia","Local Guide · 22 ulasan · 80 foto","","","setahun lalu","Baru ke sini lagi setelah pindah ke tempat yang baru. Dan shock banget waiting list ke-18 🥲
Ambience-nya jauh lebih enak banget sih dari sebelumnya, lebih bersih dan lebih …","Lainnya","","Suka","1","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjVggKiS0TOUwHgJ5mV2ICuNS7fXt5sTFQGggK3hRh4r31fWcx-3=w45-h45-p-rp-mo-ba3-br100","Lika Lindyasari","Local Guide · 15 ulasan · 97 foto","","","setahun lalu","Siapa lah anak bekasi yang gak kenal steak legend dari yg awalnya cuma ada di Bekasi ampe sekarang buka cabang di Bintaro dan Depok. Dari yg dulu program Free Birthday Steak tanpa T&C sekarang ada persyaratan baru minimum pembelian 100K. …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a/ACg8ocLS3YXPevQixcJ-gHRetEgzVLaFFzTmW1EKKRwa5UuV8s-v2A=w45-h45-p-rp-mo-ba4-br100","Novatra Cipto","Local Guide · 121 ulasan · 198 foto","","","setahun lalu","Enak, variasi condiment-nya banyak.
Datang pakai TakOl, tnyt ada parkiran tambahan di tanah kosong seberang resto, ada tukang parkir jg. Kl parkiran depan resto cuma muat 3 mobil. …","Lainnya","","Suka","2","","Bagikan",""
"https://lh3.googleusercontent.com/a/ACg8ocKFm1mDPdtETww3zs_R4DK32kpEkN5uWpIccUHidj7CKyMmWkmv=w45-h45-p-rp-mo-ba3-br100","Yuni Khoirunnisa","Local Guide · 20 ulasan · 46 foto","","","setahun lalu","Steak dimasak dengan tingkat kematangan yang sempurna sesuai pesanan. Dagingnya juicy dan empuk, dengan bumbu yang meresap sempurna. Pelayanan juga sangat ramah dan profesional. Bagi yang berulang tahun akan dapat free cake dan steak 😱🤍🤍🤍 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjUVf1KmaX1WKRKIFjiRWI68M5JjH96WI7qlRyThFCY5jKHHvn0h=w45-h45-p-rp-mo-ba6-br100","Haryono,SE","Local Guide · 257 ulasan · 3.200 foto","","","7 bulan lalu","Ada banyak pilihan jenis dagingnya. Puas banget. Worthed. Recomended","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVizIMoA9wzfJtA_y4KjVVtENY0OLDQEMkW015uGZxPKZcXtTva=w45-h45-p-rp-mo-ba4-br100","vncnt vnd","Local Guide · 40 ulasan · 81 foto","","","5 bulan lalu","Harganya sesuai.. dan ini bener” enak sih…
Steak Double U Steak juara nya local steak TOP","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVYO76qlQlBncgH3Ob6N927YmtzeTDPoyxh5xKZlA3oHnJZ9fo=w45-h45-p-rp-mo-br100","Lutfiah Amalia","7 ulasan · 4 foto","","","9 bulan lalu","pelayanan yg super ramah dan peka bgt sama customer yg kebingungan buat naro tas tiba2 pelayan nya dateng anter kursi buat tempat tas kitaa, dan untuk yg lagi ultah bisa pesen birthday treats yg bener2 puas bgt udh gitu tiba2 di puter lagu ulang tahun jugaa wahh trimakasih yaa untuk pelayanan nya, the besttttt👍🏻 …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjWhUJWWpncWerlpv_PCvWBJPmdz_ML3aDB1ZzFOXC59lhivVgkr=w45-h45-p-rp-mo-ba4-br100","iindahlia","Local Guide · 52 ulasan · 306 foto","","","setahun lalu","Datang saat weekday pukul 13.00. Pengunjung ramai tapi masih lelasa memilih tempat duduk. Lokasinya baru, pindah hanya ke seberang lokasi yang dulu. Semua terlihat serba bersih dan cling, nuansanya juga lebih modern dan terang. Parkiran di …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjVZvdJ_AnYVws-dHFuaTlwHKSIAmE9lLfQTkt2D3vlwku-MV4Lp=w45-h45-p-rp-mo-ba2-br100","melissa permatasari","Local Guide · 11 ulasan · 10 foto","","","setahun lalu","tempatnya sekarang lebih besar dan cuma pindah ke seberang dari lokasi lama. kita book untuk buka puasa 10 pax, syarat reservasinya ga sulit tapi mending langsung tanya aja ke restonya sblm reservasi siapa tau mereka ada update T&C. ga …","Lainnya","","","","","Bagikan","Suka"
"https://lh3.googleusercontent.com/a-/ALV-UjW4KzhXT8O0LUqu690HA9Pv5L49mlsEsBEw26vzX7J-RM8jFX2p=w45-h45-p-rp-mo-ba4-br100","Nurul Fajrin","Local Guide · 62 ulasan · 120 foto","","","setahun lalu","bingung banget mesen menu yang paling mahal tapi malah dapetin daging yg keras bangett sampe sampe rahang geser, gilaa..malu2in ga lagi lagi deh kapok
ntah salah masak beef ny atau gmn tapi ANEH BANGET ngarepin yang menggoyang lidah tp rahang malah geserrrr","Lainnya","","","","","Bagikan","Suka"
