Review_Text,Review_Processed,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm
mantab berfungsi dengan mantab proses pengiriman cepat top,mantab fungsi mantab proses kirim cepat top,unknown,5,Tokopedia,Positive,Lainnya,No,Perabotan,No
enggak sesuai sama yg digambar,sesuai gambar,unknown,2,Tokopedia,Negative,Bentuk,No,Fashion,No
barang di kirim tidak sesuai gambar yg di pesan,barang kirim sesuai gambar pesan,unknown,1,Tokopedia,Negative,Bentuk,Yes,F&B,No
barang yg dikirim ga ada remote nya ga lg belanja disini toko kurang teliti,barang kirim remote lg belanja toko teliti,unknown,1,Tokopedia,Negative,Lainnya,No,Kesehatan & Kecantikan,No
enak enak enak enak sekali uda order a aja kali disini dan pasti akan reorder terus thank u sukses selalu,uda order reorder thank sukses,unknown,5,Tokopedia,Positive,Rasa,No,F&B,No
pesan warna biru dikirim warna pink padahal buat anak cowok packing lelet sampai jam kecewa,pesan warna biru kirim warna pink anak cowok packing lelet jam kecewa,unknown,2,Tokopedia,Negative,Bentuk,Yes,Hobi & Hiburan,Yes
mengecewakan sih seller kurang friendly,kecewa seller friendly,unknown,1,Tokopedia,Negative,Lainnya,Yes,Hobi & Hiburan,No
pengungkitnya mudah patah kualitas plastik kurang bagus,ungkit mudah patah kualitas plastik bagus,unknown,3,Tokopedia,Neutral,Bentuk,No,Elektronik,No
pengiriman cepet banget bahan dan kualitas bagus banget,kirim cepet bahan kualitas bagus,unknown,5,Tokopedia,Positive,Bentuk,No,Otomotif,No
bahannya luntur agak lebih tipis dari yg tempat lain,bahan luntur tipis,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
mantap barang cepat sampai dan murah,mantap barang cepat murah,unknown,5,Tokopedia,Positive,Rasa,No,Fashion,No
barang jadi lebih aman dan pembeli tenang,barang aman beli tenang,unknown,5,Tokopedia,Positive,Lainnya,No,Lainnya,No
sampe cepet makasihh yahh anak aku seneng bangettt,cepet makasihh yahh anak neng bangettt,unknown,5,Tokopedia,Positive,Lainnya,No,Hobi & Hiburan,No
jahitannya rapi bahannya lembut,jahit rapi bahan lembut,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
sudah beberapa kali belanja disini dan tidak pernah mengecewakan baik pelayanan maupun produk dan packaging nya barang sesuai dengan yang di request original packaging nya bagus dengan bubble wrap yang tebal juga dilapisi kardus jadi aman deh selama pengiriman,belanja kecewa layan produk packaging barang sesuai request original packaging bagus bubble wrap tebal lapis kardus aman kirim,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
bagus so far berfungsi dengan baik,bagus so far fungsi,unknown,5,Tokopedia,Positive,Bentuk,No,Kesehatan & Kecantikan,No
barang sesuai deskripsi mukena nya tebal toko nya sangat rekomended,barang sesuai deskripsi mukena tebal toko rekomended,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
saya belom menerima paket ini kenapa sudah selesai yah gimana sih,bom terima paket selesai yah gimana,unknown,1,Tokopedia,Negative,Lainnya,No,Hobi & Hiburan,No
okeeee siiipps kereeennn abis utk tempatbhotwhealsnya gan,okeeee siiipps kereeennn abis tempatbhotwhealsnya gan,unknown,5,Tokopedia,Positive,Lainnya,No,Hobi & Hiburan,No
barangnya udah kami terima terimakasih gan,barang terima terimakasih gan,unknown,5,Tokopedia,Positive,Lainnya,No,Fashion,No
solusi untuk yang pingin punya smart tv tanpa harus beli smart tv barang berfungsi seperti seharusnya,solusi pingin smart tv beli smart tv barang fungsi,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
kurang puas nya sih krn barang yg di beli tidak ada stok nya tp gpp lah diganti dgn barang yg setara trims,puas barang beli stok gpp ganti barang tara trims,unknown,3,Tokopedia,Neutral,Lainnya,No,F&B,No
barang yg saya terima tidak sesuai pesanan barang yg saya order adalah ukuran 58x40 tapi yg datang adalah ukuran 57x30 dan tidak ada merek kecewa bgt dan tidak mau order lagi,barang terima sesuai pesan barang order ukur 58x40 ukur 57x30 merek kecewa order,unknown,1,Tokopedia,Negative,Bentuk,Yes,Perlengkapan Kantor,No
produk sesuai deskripsi penjual penjual komunikatif dan cekatan semoga tidak ada kendala saat pemakaian thanks seller,produk sesuai deskripsi jual jual komunikatif cekat moga kendala pakai thanks seller,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
barang sesuai keinginan pengiriman cepat,barang sesuai kirim cepat,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
barang berfungsi dgn baik pengiriman super cepat,barang fungsi kirim super cepat,unknown,5,Tokopedia,Positive,Lainnya,No,Hobi & Hiburan,No
barang bagus motif nya jg cantik respond penjual cepat,barang bagus motif cantik respond jual cepat,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
ternyata tidak sesuai tidak dpat dipakai,sesuai dpat pakai,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
maaf ya kak kasih bintang soalnya bagian dalam tas sobek terus reseletingnya dol susah dibuka tutup lain kali tolong cek dulu,maaf kak kasih bintang tas sobek reseletingnya dol susah buka tutup tolong cek,unknown,3,Tokopedia,Neutral,Lainnya,No,Fashion,No
terimakasih paketnya sudah saya terima sukses terus ya,terimakasih paket terima sukses,unknown,5,Tokopedia,Positive,Lainnya,No,Kesehatan & Kecantikan,No
barang bagus banget asli dengan harga sgni dpt quality wireless microphone kek gni the best,barang bagus asli harga sgni quality wireless microphone kek gni the best,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
love it product bagus worth it thank you,love it product bagus worth it thank you,unknown,5,Tokopedia,Positive,Harga,No,Elektronik,No
barang rusak dikirim,barang rusak kirim,unknown,1,Tokopedia,Negative,Lainnya,Yes,Otomotif,No
spray air tdk keluar embun,spray air embun,unknown,1,Tokopedia,Negative,Lainnya,No,Perabotan,No
bagus kotaknya harga nya murah pengiriman cepet,bagus kotak harga murah kirim cepet,unknown,5,Tokopedia,Positive,Harga,No,Kerajinan & Pesta,No
bagus dan sesuai pesanan,bagus sesuai pesan,unknown,5,Tokopedia,Positive,Bentuk,No,Lainnya,No
pelayanan nya gak seperti biasanya php,layan php,unknown,1,Tokopedia,Negative,Lainnya,No,Lainnya,No
gada jam uda redup padahal cas nya seharian sebelum pemakaian pertama,gada jam uda redup cas hari pakai,unknown,2,Tokopedia,Negative,Lainnya,No,Elektronik,No
admin super responsif cartridge berfungsi dengan baik sayang bgt cuma bisa ngasih bintang,admin super responsif cartridge fungsi sayang ngasih bintang,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
order 30pcs datangnya 29pcs ketahuan nya setelah dibongkar dan diberesin masuk ke kotak ada satu kemasan yg isinya cuma complain ditolak krn gaada video unboxing ternyata unilever official account pun tak bisa dipercaya,order 30pcs datang 29pcs tahu bongkar resin kotak kemas isi complain tolak gaada video unboxing unilever official account percaya,unknown,1,Tokopedia,Negative,Bentuk,No,Kesehatan & Kecantikan,No
gps adas gak berfungsi jawaban penjual bertele2 jt cm kamera biasa mahal,gps adas fungsi jual bertele2 jt cm kamera mahal,unknown,1,Tokopedia,Negative,Harga,No,Otomotif,No
produk sesuai deskripsi kualitas produk bagus karetnya tebal buatannya rapi halus thanks seller for flash sale,produk sesuai deskripsi kualitas produk bagus karet tebal buat rapi halus thanks seller for flash sale,unknown,5,Tokopedia,Positive,Bentuk,No,Otomotif,No
gak pernah saya kasih bintang ke toko manapun tapi untuk x ini saya kecewa barang saya yg minyak kayu putih gak di kirim semoga berkah ka walau cuma uang sgitu dan gak lagi2 belanja di toko yg gak amanah ini,kasih bintang toko mana kecewa barang minyak kayu putih kirim moga berkah ka uang sgitu lagi2 belanja toko amanah,unknown,1,Tokopedia,Negative,Bentuk,Yes,Ibu & Bayi,Yes
minta pink dikasi ungu tp ya udah lah bagus juga,pink kasi ungu bagus,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
seperti biasa pesanan cepat seller juga fast respon,pesan cepat seller fast respon,unknown,5,Tokopedia,Positive,Lainnya,No,Fashion,No
barang nya bagus sesuai dengan gambar dan tajam juga semoga awet deh pisau nya,barang bagus sesuai gambar tajam moga awet pisau,unknown,4,Tokopedia,Positive,Bentuk,No,F&B,No
bagaimana gak kecewa sampai sekarang jam tangannya gak nyala udah d cas beberapa kali bahkan seharian tetap gak nyala saya kecewa,kecewa jam tangan nyala cas hari nyala kecewa,unknown,1,Tokopedia,Negative,Lainnya,Yes,Elektronik,No
pembelian kedua semoga sehat lagi kucingnya,beli moga sehat kucing,unknown,5,Tokopedia,Positive,Lainnya,No,Perawatan Hewan,No
kalo malas macking daftar tokocabang aja bro biar konsumen puas anda pun gak perlu bayar pegawai untuk handle pengemasan barang packing kok jelek bgt,malas macking daftar tokocabang bro biar konsumen puas bayar pegawai handle kemas barang packing jelek,unknown,3,Tokopedia,Neutral,Harga,No,Kesehatan & Kecantikan,No
bahannya adem enak dipakai modelnya kekinian jahitannya rapi bahan menyerap keringat tidak menerawang,bahan adem pakai model kini jahit rapi bahan serap keringat terawang,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
barang sesuai gambar mantul cepat nyampe puas banget,barang sesuai gambar mantap cepat puas,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
ada satu yang salah dong pengirimanya gimana kurang teliti,salah pengirimanya gimana teliti,unknown,2,Tokopedia,Negative,Lainnya,No,Kesehatan & Kecantikan,No
respon seller dan pengiriman cepat paket aman produk baru dicoba dan blm bener tau efektif atau ngga botol aman gak bocor dan sprayernya bagus thanks a lot seller,respon seller kirim cepat paket aman produk coba bener tau efektif botol aman bocor sprayernya bagus thanks lot seller,unknown,5,Tokopedia,Positive,Bentuk,No,Perawatan Hewan,No
barangnya original suaranya jernih,barang original suara jernih,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
gampang dibawa bawa awet buat seharian proses pesanan cepat,gampang bawa bawa awet hari proses pesan cepat,unknown,4,Tokopedia,Positive,Bentuk,No,Kesehatan & Kecantikan,No
proses pengiriman mengecewakan sebagai customer sangat merasa tdk dibantu ketika bertanya penjual merespon dengan kurang baik so sad,proses kirim kecewa customer bantu jual merespon so sad,unknown,1,Tokopedia,Negative,Rasa,Yes,Hobi & Hiburan,No
barang cepet pengirimanya sesuai pesanan,barang cepet pengirimanya sesuai pesan,unknown,4,Tokopedia,Positive,Bentuk,No,Fashion,No
ngga cocok sama hp realme pro ngga konek manual pake bahasa china sulit dipahami,cocok hp realme pro konek manual pake bahasa china sulit paham,unknown,2,Tokopedia,Negative,Bentuk,No,Hobi & Hiburan,No
ampun dah ini packing terasal yg pernah gua terima ini klu patah gimana awas aja isinya rusak pas gua pake ya,ampun dah packing asal gua terima klu patah gimana awas isi rusak pas gua pake,unknown,2,Tokopedia,Negative,Rasa,Yes,Elektronik,No
agak kecewa karna isinya tumpah sampai setengah dan pengiriman juga lama,kecewa karna isi tumpah kirim,unknown,1,Tokopedia,Negative,Lainnya,Yes,Otomotif,No
pesan godly grey malah datang nya lovely brown gak teliti banget admin nya,pesan godly grey lovely brown teliti admin,unknown,2,Tokopedia,Negative,Lainnya,No,Kesehatan & Kecantikan,No
barang sesuai deskripsi pengiriman cepat,barang sesuai deskripsi kirim cepat,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
murah meriah tp bagus nyaman dipakai tulisan jg terlihat lebih rapih,murah riah bagus nyaman pakai tulis rapih,unknown,5,Tokopedia,Positive,Bentuk,No,Perlengkapan Kantor,No
toko penipu tipu harga tipu merk semoga dapat karmanya amin,toko tipu tipu harga tipu merk moga karma amin,unknown,1,Tokopedia,Negative,Harga,Yes,F&B,No
nyaman di kulit proses pesanan cepat packaging aman packaging rapi respon penjualnya top,nyaman kulit proses pesan cepat packaging aman packaging rapi respon jual top,unknown,5,Tokopedia,Positive,Bentuk,No,Kesehatan & Kecantikan,No
dipakai untuk mindahin tabung gas kg sangat seret susah maju karena rodanya tidak jalan bobot tabung gas terlalu berat not recommended utk tabung gas kg mungkin untuk yang lbh ringan bisa lancar rodanya berputar,pakai mindahin tabung gas kg seret susah maju roda jalan bobot tabung gas berat not recommended tabung gas kg lbh ringan lancar roda putar,unknown,1,Tokopedia,Negative,Bentuk,No,F&B,Yes
enak bahannya pas banget bagussss pengiriman juga cpt bgtt sampe gainget pesen paket wkwk,bahan pas bagussss kirim cpt bgtt gainget sen paket wkwk,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
barang sudah sampai pelayanan cepat sekali packing aman dan barang sesuai deskripsi terimakasih dan sukses selalu yaa,barang layan cepat packing aman barang sesuai deskripsi terimakasih sukses yaa,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
packing kardusnyasperti udh di buka gk rapih,packing kardusnyasperti buka rapih,unknown,1,Tokopedia,Negative,Bentuk,No,Kesehatan & Kecantikan,No
bahan tipis kayaknya ga bisa di pakai,bahan tipis kayak pakai,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
expirednya bulan sekarang bulan coba dikonfirmasi dulu habis kek gitu ga malu kah toko resmi ambil pahalanya aja malas ongkir bolak balik,expirednya coba konfirmasi habis kek gitu malu kah toko resmi ambil pahala malas ongkos kirim bolak,unknown,1,Tokopedia,Negative,Harga,No,Kesehatan & Kecantikan,No
barangnya bagus bangett grafir photo dan namanya presisi sesuai orderan dikirim hingga keluar pulau jg packing sangat aman respon seller jg baik dan pengiriman cepat,barang bagus bangett grafir photo nama presisi sesuai order kirim pulau packing aman respon seller kirim cepat,unknown,5,Tokopedia,Positive,Bentuk,No,Lainnya,No
terima kasih paketnya sudah sampai barangnya bagus banget sesuai dengan foto dan muat pakai baju ini senang banget ramah orangnya juga,terima kasih paket barang bagus sesuai foto muat pakai baju senang ramah orang,unknown,5,Tokopedia,Positive,Bentuk,No,Fashion,No
mantab barang nya oke punya,mantab barang oke,unknown,5,Tokopedia,Positive,Lainnya,No,Elektronik,No
penjual ok barang nya bagus dan kurirnya pun juara mantap deh sukses terus ya kaaa,jual oke barang bagus kurir juara mantap sukses kaaa,unknown,5,Tokopedia,Positive,Rasa,No,Kerajinan & Pesta,No
paket sampai barang sesuai pesanan bisa dipakein di scph bisa untuk boot hdd internal cuma mesti konfigurasi ulang di chip matrix nya terimakasih semoga awet,paket barang sesuai pesan dipakein scph boot hdd internal mesti konfigurasi ulang chip matrix terimakasih moga awet,unknown,4,Tokopedia,Positive,Bentuk,No,Elektronik,No
beli mahal2 malah sering tiba2 ngeblur kalau dipakai zoom terus menghubungi cs nya suruh klaim garansi aja minta alamat ga dikasih2 hadeuhh webcam jutaan kualitas sampah,beli mahal2 tiba2 ngeblur pakai zoom hubung cs suruh klaim garansi alamat dikasih2 hadeuhh webcam juta kualitas sampah,unknown,1,Tokopedia,Negative,Harga,No,Elektronik,No
bolong coy packing parah bgttttt lakban semua jadi robek2 ketika dicabut,bolong coy packing parah bgttttt lakban robek2 cabut,unknown,1,Tokopedia,Negative,Lainnya,Yes,Kerajinan & Pesta,No
merek kereta nya beda banget sama di gambar yg dijual merek yg dijual keluaran china dan bukan merek thomas train set tapi thamos train set rel kretanya juga gk bisa rata stabil kalo nyari kualitas mending cari yang lain saya aja ketipu sebenrnya gk liat review dulu mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas,merek kereta beda gambar jual merek jual keluar china merek thomas train set thamos train set rel kretanya rata stabil nyari kualitas mending cari tipu sebenrnya liat review mgkn jual ngasih barang sesuai gambar puas,unknown,1,Tokopedia,Negative,Bentuk,Yes,Hobi & Hiburan,No
pengiriman telat sehari tapi barangnya bagus,kirim telat hari barang bagus,unknown,4,Tokopedia,Positive,Bentuk,No,Elektronik,No
sudah diterima dengan baik produk sesuai dan nyaman dipakai terima kasih,terima produk sesuai nyaman pakai terima kasih,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
ukuran karet sesuai mantul dan waktu pengiriman lebih cepat dari jadwalnya mantap dah is the best,ukur karet sesuai mantap waktu kirim cepat jadwal mantap dah is the best,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
nyaman dipakai bahannya enak fitting buat lari banget kekecilan sebenernya tapi tenang ada garansi hari bisa tuker size produk original,nyaman pakai bahan fitting lari kecil sebenernya tenang garansi tuker size produk original,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
gampang dibawa bawa hasilnya awet packaging aman gampang dipakai,gampang bawa bawa hasil awet packaging aman gampang pakai,unknown,5,Tokopedia,Positive,Bentuk,No,Kesehatan & Kecantikan,No
bagus bgt bukunya suka makasih,bagus buku suka makasih,unknown,5,Tokopedia,Positive,Bentuk,No,Hobi & Hiburan,No
packing kurang baik untuk silica gel hanya dibungkus plastik dan plastiknya di hekter sehingga udara bisa keluar masuk mestinya di seal supaya kedap udar,packing silica gel bungkus plastik plastik hekter udara mesti seal kedap udar,unknown,3,Tokopedia,Neutral,Bentuk,No,Elektronik,No
amazing respon seller cepat barang ori seperti di foto dan sesuai deskripsi proses pengiriman kilat banget thank you yaa kak sukses selalu,amazing respon seller cepat barang original foto sesuai deskripsi proses kirim kilat thank you yaa kak sukses,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
bisa hidup tapi ga bisa ngecharge di biarkan seharian batetai tidak terisi berharap banyak sama alat ini supaya stick nya anak anak bisa terpakai nya,hidup ngecharge biar hari batetai isi harap alat stick anak anak pakai,unknown,2,Tokopedia,Negative,Bentuk,No,Elektronik,No
diluar expektasi saya benar benar ukuran super mini tidak ada bedanya dengan box kontener yg di pasar yg tingkt cma karena ada space diatas itu saja kelebihanya saya ukur lebarnya cuma sejengkal antar jempol ibu jari dan dan jari tengah benar benar kecil dengan harg lumayan mahal,luar expektasi ukur super mini beda box kontener pasar tingkt cma space atas kelebihanya ukur lebar jengkal jempol jari jari tengah harg lumayan mahal,unknown,1,Tokopedia,Negative,Bentuk,No,Kesehatan & Kecantikan,Yes
ukuran xl baju oke tapi celananya tdk xl kekecilan baju bisa pakai celana tidak baju yg dikirim celananya robek pas di jahitan tdk di check dulu sblm kirim,ukur xl baju oke celana xl kecil baju pakai celana baju kirim celana robek pas jahit check sblm kirim,unknown,3,Tokopedia,Neutral,Bentuk,No,Fashion,No
barang tidak sampai kembalikan uang saya,barang kembali uang,unknown,1,Tokopedia,Negative,Lainnya,Yes,Perlengkapan Kantor,No
barangnya original kemasan disegel tapi kok gk ad buku garansi y sma anti gores sofkeswarna sesuai pesanan,barang original kemas segel ad buku garansi sma anti gores sofkeswarna sesuai pesan,unknown,5,Tokopedia,Positive,Bentuk,No,Elektronik,No
