Review_Text,Review_Date,Rating_Score,Platform_Source,Sentiment_Label,Review_Aspect,Crisis_Flag,Business_Category,Is_Sarcasm,Review_Text_Preprocessed
Rasa dan pelayanan nya luar biasa. Waiter Mas Yusuf.. toop,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan waiter mas yusuf toop
Makanan enak semua ok. Untuk acara keluarga sangat di rekomendasi,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan ok acara keluarga rekomendasi
"Makanan enak, pelayanannya bagus dan ramah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan bagus ramah
"Clean, large space 2 floors makanannya cocok buat rame2 pedes nagihhh",6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,clean large space floors makan cocok rame2 pedes nagihhh
Makanan dan rasa serta pelayanan sangat baik @yusuf susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan yusuf susanto
Pelayanan baik ramah cepat,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,layan ramah cepat
Terbaik,2 tahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,baik
Kulit,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,kulit
Suka bgt mkn di BDB. Pelayanannya ok bgt tq mas rohmat mntapp,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,suka banget mkn bdb layan ok banget tq mas rohmat mntapp
"enak makanannya, pelayanannya oke",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan oke
@gita Selalu menyenangkan dan sesuai selera berulang kali makan disini,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,gita senang sesuai selera ulang makan
"Tempatnya enak menunya banyak, pelayanannya baik, rasa kopi dan makanannya enak2",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat menu layan kopi makan enak2
"Pelayanan ramah, rasa makanan uenak puoll rekomen dehh",9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan uenak puoll rekomen dehh
"Makanan nya enak, tempat nya bagus",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan bagus
Makanan enak Pelayanan oke ramah @rahmad dan Tiwi,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan oke ramah rahmad tiwi
"Recommended makan disini, semua menu enak, pelayanan ramah",9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,recommended makan menu layan ramah
"Makanannya enak dan lengkap,pelayanan bagus",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan lengkap layan bagus
coklat hazelnatnya mantap dan pelayanannya sangat bagus,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,coklat hazelnatnya mantap layan bagus
"@septi pelayanan nya baguss. Ramah, jelass. Tempatnya nyaman makanan enakk",5 bulan lalu,4,Google Maps,Positive,Rasa,No,F&B,No,septi layan baguss ramah jelass tempat nyaman makan enakk
Pelayanan maya rere sangat baik serta penyajian makanan yang cepat,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,layan maya rere saji makan cepat
Enaaak makanannya... staf nya ramah,2 hari lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,enaaak makan staf ramah
so funnn enak tempatnya dan nyaman,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,so funnn tempat nyaman
"Tempatnya nyaman, makanannya enak terutama kangkungnya juarakk!!",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman makan kangkung juarakk
Parkir luas. Makanannya enak. Harga terjangkau.,5 bulan lalu,5,Google Maps,Positive,Harga,No,F&B,No,parkir luas makan harga jangkau
Makanan enak pelayanan best dari kak sarah tq so muchh,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan best kak sarah tq so muchh
"makanannya enak bgt, pelayanannya juga ramah sekali",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan banget layan ramah
"pelayanan ramah, makanan enak polll, tempatnya aesthetic buat foto2",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan polll tempat aesthetic foto2
Makanannya well recommended,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan well recommended
"Makanan enak, pesanan cepat disajikan pelayanan nya ramah",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan pesan cepat saji layan ramah
"Makanan nya enak semua,tempatnya nyaman dan ccok untuk bwa krlga dan anak².",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat nyaman ccok bwa krlga anak
Tsamara Resto tempat makan yang cocok untuk bawa kelurga sekalian berlibur...,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,tsamara resto makan cocok bawa kelurga libur
"Makanannya enak, suasananya enak, servis memuaskan top buat Mbak Ranny❤️",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana servis muas top mbak ranny
"Enakkk sekali makanannya, pelayanannya juga cepat dan baik. top mantap",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,enakkk makan layan cepat top mantap
Oke bgt.. Pelayanan oke. Makanan selera sendiri,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,oke banget layan oke makan selera
Tempatnya nyaman..ikan nya fress..mas kurnia pelayannya ramah...,3 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,tempat nyaman ikan fress mas kurnia layan ramah
"Makanannya enak, dan fresh Pelayanannya bagus kak maya",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan fresh layan bagus kak maya
Makananya enak Pelayanannya cepat Suasananya mantap,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makananya layan cepat suasana mantap
"Bandar djakartta mantap, mas kurnia",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,bandar djakartta mantap mas kurnia
K hmdan terbaik,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,hmdan baik
Makanannya enak dan tempat nya nyaman,7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman
Makanan nya enak banget Pelayanannya baik & ramah,5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan banget layan ramah
Makanan nya uenakkkk semua tempat juga nyaman,7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan uenakkkk nyaman
Pokoknya mantap banged deh buat ngadain acara acara disini..,11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,pokok mantap banged ngadain acara acara
Acaranya seru bikin acara perpisahan disini bersama ka dilah,10 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,acara seru bikin acara pisah ka lah
Mba Maya ramah pelayannya dan makanannya enak,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mba maya ramah layan makan
"24 jam seru bat buat ngobrol sampe tengah malem, mantab richeese",8 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,jam seru bat ngobrol sampe tengah malem mantab richeese
Makanannya enak walaupun harganya mahal,setahun lalu,5,Google Maps,Positive,Harga,No,F&B,No,makan harga mahal
"Restonya Bagus,makanannya enak,pelayanannya bagus.",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,restonya bagus makan layan bagus
"Enakkkkkkkkk, pelayanannya juga mantapp🫶🏻 makanan langsung ludes sekejappp …",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,enakkkkkkkkk layan mantapp makan ludes sekejappp
Makanannya enak enak suasananya nyaman,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman
"Pelayannya ramah, makanannya enak ,bang Majid ramah",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan bang majid ramah
"Alhamdulillah enak posting ini dapat es cream, dan mba nurlela baik sekali",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,alhamdulillah posting es cream mba nurlela
"Oke juga, utk makanan sih selera tapi ya standar aja",setahun lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,oke makan selera standar
"Tempatnya bersih dan nyaman, untuk makanan nya cukup recommended...👍 …",3 tahun lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,tempat bersih nyaman makan recommended
"Food delyzious enak , tempat luas mntap service nya good dari mas rokhmatulloh",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,food delyzious luas mntap service good mas rokhmatulloh
"Mantap makanannya recomended,pelayanan dan karyawannya ramah ramah semua.",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap makan recomended layan karyawannya ramah ramah
Good .. Pelayanan nya Ramah.. Makasih Mba Sarah Dan Pak Handoko..,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,good layan ramah makasih mba sarah handoko
"Makanannya enak, pelayanan baik dan suasananya asri",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan suasana asri
Makanannya enak. Tempatnya cozy bgt buat ngumpul2 bareng keluarga/teman,8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat cozy banget ngumpul2 bareng keluarga teman
Mknn nya enk semua viewny keren hbs cck buat kmpul2,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,mknn enk viewny keren hbs cck kmpul2
Salah,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,salah
"Masakan nya enak, tempat seru tuk kumpul bersama keluarga atau teman -sarah-",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,masakan seru tuk kumpul keluarga teman sarah
"Pelayanan ramah, makanan enak, mas Handoko service nyaa okee banget",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan mas handoko service nyaa okee banget
Pelayanan ramah dan makanan enak @rahmat dan tiwi,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah makan rahmat tiwi
"Penyajian makanan cepat, pelayanan maya bagusss",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,saji makan cepat layan maya bagusss
"Makanan minumannya enak semua,pelayanannya cepat dan ramah",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan minum layan cepat ramah
"Makanannya enak bumbunya luar biasaa, pelayanan yusuf susanto raman dan good job.",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan bumbu biasaa layan yusuf susanto ram good job
"mantap, pelayanan nya ramah. makanan nya juga enak². the best pokoknya...",7 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantap layan ramah makan best pokok
"Pelayanannya baik, makanan nya enak banget",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan makan banget
"Makanannya enak, porsi besar dan pelayanannya ramah banget 🫶🫶 …",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan porsi layan ramah banget
"Tempat nyaman, pelayanan ramah, makanan enak, mantap utk rekomendasi kembali",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman layan ramah makan mantap rekomendasi
Menu makanan enak dan cocok buat keluarga,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,menu makan cocok keluarga
Makanan enak tempatnya nyaman terimakasih maen Rere,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan tempat nyaman terimakasih maen rere
"Pelayanannya bagus, makanannya enak enak",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan bagus makan
Menu makanan lengkap sesuai selera Anda.,7 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,menu makan lengkap sesuai selera
Tukang parkirnya yang cewe bad etitud,2 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,tukang parkir cewe bad etitud
Sangat memuaskan dan hidangan mantap,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,muas hidang mantap
"mantappp, bangettt ade ku ultah di rayain",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,mantappp bangettt ade ku ultah rayain
Alhamdulillah menunya enak² Pelayanannya jg baik cepat dalam penyajian,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,alhamdulillah menu layan jg cepat saji
"Makanan enak, layanan baik dan suasana nyaman",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan suasana nyaman
"Pelayanan nya ramah,penyajian cepat,makan nya jga enak",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah saji cepat makan jga
"Makanan enak, suasana nyaman dan pelayannya ramah top banget mba Neti",setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman layan ramah top banget mba net
Makanan enak datang nya cepat tepat waktu Pelayanan maya primaaa,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan cepat waktu layan maya primaaa
"Pelayanan terbaik, terima kasih banyak.",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,layan baik terima kasih
"Suana nyaman pelayanan baik, hanya saja rasa makanannya kurang menurut saya",2 tahun lalu,2,Google Maps,Negative,Rasa,No,F&B,No,suana nyaman layan makan
Makanan enak pelayanan ramah yusuf susanto the best👍🏻 …,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan ramah yusuf susanto best
"Makanan nya enak,tempat nya nyaman",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman
Syafiq keren banget.,7 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,syafiq keren banget
"Tempat yang bagus, makanan recommended pelayanan juga ramah",5 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,bagus makan recommended layan ramah
"Tempatnya bersih n makanannya enak"". Selalu langganan disini",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat bersih makan langgan
"Pelayanan ny bagus,karyawan ny ramahhh",5 bulan lalu,4,Google Maps,Positive,Lainnya,No,F&B,No,layan ny bagus karyawan ny ramahhh
"makanan nya enak, pelayanan cepet. mba sarah pramusaji nya ramah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan cepet mba sarah pramusaji ramah
"Tempatnya enak, adem dan kopinya juga enak",8 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat adem kopi
"so happy, makanannya enak semua & staffnya ramah2 😍😍🥰 …",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,so happy makan staffnya ramah2
"Tempat nya nyaman ,masakan ya jg mantabb",setahun lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,nyaman masakan jg mantabb
"makanan enak, tempat nyaman pelayanan yusuf oke",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman layan yusuf oke
"Makanannya enak2, suasananya nyaman,pelayanannya ramah2",6 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan enak2 suasana nyaman layan ramah2
"makanannya enak, service nya memuaskan pelayan nya Mas Kurnia",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan service muas layan mas kurnia
Makananya enak pelayanan ramah terimakasih bpk kurnia,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makananya layan ramah terimakasih bpk kurnia
"Enak enak makanan nya,seafood mantap,pelayanan mantap dari Maya ramah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan seafood mantap layan mantap maya ramah
"Tempat nyaman, makanan ok, pelayanan ok mas yusuf susanto ok.",3 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,nyaman makan ok layan ok mas yusuf susanto ok
Makanannya enak dan pelayanan nya baik,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan
"Overall dari pelayanan dan tempatnya ok, semua makanan dan minumannya enak..",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,overall layan tempat ok makan minum
the best banget pelayanan mas jordii dan kopi nya enak poll,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,best banget layan mas jordii kopi poll
"Tempat Nyaman, makanan enak, harga terjangkau, pelayanannya ramah Sarah",3 bulan lalu,5,Google Maps,Positive,Harga,No,F&B,No,nyaman makan harga jangkau layan ramah sarah
Tooppp👍 …,11 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,tooppp
"Makanan nya sangat cepattt, pelayanan mba maya sopan ramah",4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan cepattt layan mba maya sopan ramah
Mantuu ...,9 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,mantuu
"makanannya enak, saus keju the best, tempatnya juga nyaman",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan saus keju best tempat nyaman
Tempat ya nyaman untuk santai,4 bulan lalu,5,Google Maps,Positive,Bentuk,No,F&B,No,nyaman santai
"Tempat nya nyaman, pelayanan nya ramah, makanannya enak dan cepat datangnya ☺",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman layan ramah makan cepat datang
tempatnya nyaman makanannya enak,11 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat nyaman makan
"Makanannya enak, servis nya oke.",9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan servis oke
"Tempat enak banget,, masakannya juga pernah enak banget rasanya..",9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,banget masakan banget
"Pelayanan ramah (Mas Handoko oke) makanan enak, suasana nyaman",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan ramah mas handoko oke makan suasana nyaman
"Luar biasa, suasana terasa unik dan antik, cocok banget untuk kumpul keluarga",2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,suasana unik antik cocok banget kumpul keluarga
Makanannya enak dan rekomended. Tempatnya nyaman Layanan dgn mas Yusuf Susanto,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan rekomended tempat nyaman layan mas yusuf susanto
menghancurkan,3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,hancur
Tempat nyaman. Makanan enak 👍 Pelayanan Maya dan Rere cekatan …,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman makan layan maya rere cekat
Pelayanannya cepat ramah rasa makanannya enak bngtt menu paketnya cocok,4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,layan cepat ramah makan bngtt menu paket cocok
Tempat bersih makanan mantap pelayanan mas kurnia ok,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,bersih makan mantap layan mas kurnia ok
Makanannya enak enak Rekomendasi banget ya Disini,9 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan rekomendasi banget
"enak bangettt tempatnya cozy, kopinya enakk",4 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,bangettt tempat cozy kopi enakk
"Excelent, makanan oke pelayanan (rere, maya,yusuf) ramah",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,excelent makan oke layan rere maya yusuf ramah
Masakan kentang baladonya asin,setahun lalu,3,Google Maps,Neutral,Rasa,No,F&B,No,masakan kentang baladonya asin
Tempatnya luas makanan enak pelayanan ramah terimakasih bpk kurnia,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat luas makan layan ramah terimakasih bpk kurnia
"Tempatnya bagus, makanannya enak, depan danau",3 hari lalu,5,Google Maps,Positive,Rasa,No,F&B,No,tempat bagus makan danau
untuk mass dinooo naikiiinnn gajinyaaaaa ✨✨✨✨✨,4 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,mass dinooo naikiiinnn gajinyaaaaa
"Makanannya enak, suasananya nyaman banget Recomended pokoknyaaa🫰🏻👍👍 …",5 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman banget recomended pokoknyaaa
Hadiah gratis,6 bulan lalu,5,Google Maps,Positive,Harga,No,F&B,No,hadiah gratis
tempat makan nyaman dan makanannya enak enak,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan nyaman makan
Overall makanannya enak,2 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,overall makan
Makanan. Saya ingin ke PNGN lagi. Tempatnya bersih dan pepohonannya bagus sekali.,6 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan pngn tempat bersih pohon bagus
"Makanan enak, pelayanan memuaskan yusuf susanto",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan muas yusuf susanto
"Makanan enakk sekali, pelayanan baikkk dan ramahhhh,, Top untuk mass ekaaaa",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan enakk layan baikkk ramahhhh top mass ekaaaa
Enak....nyaman...bawa family makan disini...ada play ground...makanannya pun yummy,setahun lalu,5,Google Maps,Positive,Rasa,No,F&B,No,nyaman bawa family makan play ground makan yummy
Makanannya semua enak dan dilayani dengan mas yusuf susanto super ramh. Terimakasih,3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan layan mas yusuf susanto super ramh terimakasih
Makanan layanan dan suasananya the best 😁👍 …,setahun lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,makan layan suasana best
"Makanan enak ,suasana nyaman ,pelayanan Maya baik ramah",3 bulan lalu,5,Google Maps,Positive,Rasa,No,F&B,No,makan suasana nyaman layan maya ramah
"tempat nya luas, nyamaann. makanan nya jugaaa enaakk bangeett :p recommended!! >0<",3 bulan lalu,5,Google Maps,Positive,Lainnya,No,F&B,No,luas nyamaann makan jugaaa enaakk bangeett recommended
